Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	mirtop-ref_miRNA_sum	mirtop-isomiR_perc	mirtop-isomiR_sum	mirtop-read_count	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences
CD4_S3_mature																			0.9985533	0.0	11.987497	37.50854404952887	0.0	0.0	31.959377	0.0						
CD4_S3_mature_hairpin																			2.823272	0.0	1.3826349999999998	6.848519836354932	0.0	0.0	20.188814999999998	0.0						
CD4_S3_mature_hairpin_genome																			0.5729937	0.0	30.017792	99.91859464045434	0.0	0.0	30.042247999999997	0.0						
CD4_S4	49.8498	96.3498	548.39503	28.72189	38.7929	99.60435536467672	97.9975952263523	150.0	0.001173	0.0	0.0	0.001173	98.09602550086376	38.0	19.81662777066551	20	36.36363636363637	28.72189														
CD4_S4.raw																											96.89812085840337	54.0	150.0	150	36.36363636363637	28.835977999999997
CD4_S4_mature																			0.9360708000000001	0.0	10.147765999999999	34.19881908902935	0.0	0.0	29.672855	0.0						
CD4_S4_mature_hairpin																			3.765503	0.0	1.1318949999999999	5.751353738678449	0.0	0.0	19.680497	0.0						
CD4_S4_mature_hairpin_genome																			0.4950394	0.0	31.474784999999997	99.97187745673237	0.0	0.0	31.483639	0.0						
CD56_S1	54.9853	96.3592	583.430813	30.737410999999998	40.3653	99.24356409071872	96.84756002352083	150.0	0.00198	0.0	0.0	0.00198	96.97405522979332	40.0	19.698299964170698	20	36.36363636363637	30.737410999999998														
CD56_S1.raw																											95.32217304305182	56.0	150.0	150	45.45454545454545	30.971691999999997
CD56_S1_mature																			1.1404269999999999	0.0	13.728334	42.825804165307076	0.0	0.0	32.056219999999996	0.0						
CD56_S1_mature_hairpin																			3.803512	0.0	1.884236	10.152563025968501	0.0	0.0	18.559215	0.0						
CD56_S1_mature_hairpin_genome																			0.5296813	0.0	46.989292999999996	99.95997711628762	0.0	0.0	47.008106999999995	0.0						
CD56_S2	45.0592	96.59309999999999	611.326141	32.27418	40.9964	99.15506371892397	97.32229363548106	150.0	0.002154	0.0	0.0	0.002154	97.4475275745737	40.0	19.609723190488495	20	36.36363636363637	32.27418														
CD56_S2.raw																											95.86003328081993	60.0	150.0	150	63.63636363636363	32.5492
CD56_S2_mature																			1.116937	0.0	18.665015	54.947960510862245	0.0	0.0	33.968531	0.0						
CD56_S2_mature_hairpin																			3.300483	0.0	2.2118889999999998	14.16646534588277	0.0	0.0	15.613555999999999	0.0						
CD56_S2_mature_hairpin_genome																			0.6332253	0.0	41.134550999999995	99.93286799359335	0.0	0.0	41.162183999999996	0.0						
CD56_S3	54.1033	96.3868	538.0709449999999	28.280824	39.6499	99.57021284026813	97.79977717765118	150.0	0.001519	0.0	0.0	0.001519	97.87205115182638	39.0	19.73921969176004	20	36.36363636363637	28.280824														
CD56_S3.raw																											96.62446775964163	57.0	150.0	150	45.45454545454545	28.402896
CD56_S3_mature																			0.8525415999999999	0.0	13.555631	46.294716719234025	0.0	0.0	29.281162	0.0						
CD56_S3_mature_hairpin																			2.368518	0.0	1.979657	12.430709549161142	0.0	0.0	15.925535	0.0						
CD56_S3_mature_hairpin_genome																			0.6320669	0.0	26.755664	99.95661867124619	0.0	0.0	26.767276	0.0						
CD56_S4	52.3876	96.447	571.56594	29.943376999999998	38.7129	99.595194850957	98.14028779299521	150.0	0.001165	0.0	0.0	0.001165	98.29628329647227	38.0	19.791424694682902	20	36.36363636363637	29.943376999999998														
CD56_S4.raw																											97.07584643720912	55.0	150.0	150	36.36363636363637	30.065082
CD56_S4_mature																			0.8389763	0.0	12.151596999999999	39.39871456458162	0.0	0.0	30.842623	0.0						
CD56_S4_mature_hairpin																			2.607848	0.0	1.5712739999999998	8.327292108783697	0.0	0.0	18.868966999999998	0.0						
CD56_S4_mature_hairpin_genome																			0.5600761999999999	0.0	29.737157999999997	99.96193755237452	0.0	0.0	29.748480999999998	0.0						
