Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
CD4_S3.raw - illumina_universal_adapter	(1, 0.02501205026854013)	(2, 0.0704240224550632)	(3, 0.09986525652580856)	(4, 0.12115101520423255)	(5, 0.1399044361870479)	(6, 0.1621498513559497)	(7, 0.18194958677319903)	(8, 0.22372192531356214)	(9, 0.29935826261991616)	(10, 0.5165760278065443)	(12, 1.0069524705570005)	(14, 1.6653442236478488)	(16, 2.551240360828273)	(18, 4.244217235160967)	(20, 9.819214839229293)	(22, 26.875136686858824)	(24, 40.44294309378232)	(26, 41.41858155581308)	(28, 43.55967628700367)	(30, 45.98205949472256)	(32, 46.48169710403915)	(34, 46.77944577558892)	(36, 47.096063412046774)	(38, 47.738564665858846)	(40, 48.43338806049957)	(42, 48.80725129282419)	(44, 49.43721282119045)	(46, 50.03862537135336)	(48, 50.27016416416712)	(50, 50.61329592192209)	(52, 50.94456035568528)	(54, 51.1811493808996)	(56, 51.423562140903115)	(58, 51.97722616394618)	(60, 53.367818166727446)	(62, 62.32649715559742)	(64, 69.32579188831576)	(66, 72.6709827030102)	(68, 80.28247729513726)	(70, 85.52160475619878)	(72, 92.27308825996047)	(74, 93.13245262329966)	(76, 94.69772617899898)	(78, 95.71116355236204)	(80, 96.04770128249262)	(82, 96.1903145818167)	(84, 96.36758303483951)	(86, 96.48460816904539)	(88, 96.64611290015188)	(90, 96.87858406825154)	(92, 97.02955825439062)	(94, 97.12702436969025)	(96, 97.18946302308741)	(98, 97.22513881479279)	(100, 97.25643356599815)	(102, 97.27980713921522)	(104, 97.30173320381287)	(106, 97.32311043476547)	(108, 97.34453901857376)	(110, 97.36252375149814)	(112, 97.38139913551319)	(114, 97.40347123479418)	(116, 97.42093922960831)	(118, 97.43737374820194)	(120, 97.44949944124883)	(122, 97.4627484780137)	(124, 97.4979075316088)	(126, 97.53251454200537)	(128, 97.55656212145323)	(130, 97.58058723402671)	(132, 97.60433311544745)	(134, 97.62943182365994)	(136, 97.65551907434423)	(138, 97.69079848619484)
CD4_S3.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0018422836974389882)	(4, 0.0019738753901132017)	(5, 0.002054114227109673)	(6, 0.0020669524410291086)	(7, 0.002079790654948544)	(8, 0.0020958384223478386)	(9, 0.0020990479758276974)	(10, 0.0021102814130072034)	(12, 0.0021134909664870622)	(14, 0.002116700519966921)	(16, 0.0021183052967068505)	(18, 0.0021183052967068505)	(20, 0.0021183052967068505)	(22, 0.0021183052967068505)	(24, 0.0021183052967068505)	(26, 0.0021183052967068505)	(28, 0.0021183052967068505)	(30, 0.0021183052967068505)	(32, 0.0021183052967068505)	(34, 0.0021183052967068505)	(36, 0.00211991007344678)	(38, 0.0021215148501867094)	(40, 0.002124724403666568)	(42, 0.002150400831505439)	(44, 0.002150400831505439)	(46, 0.002150400831505439)	(48, 0.002156819938465157)	(50, 0.0021632390454248748)	(52, 0.002164843822164804)	(54, 0.002187310696523816)	(56, 0.0022194062313224045)	(58, 0.002238663552201558)	(60, 0.002376674351835489)	(62, 0.0038001113201528956)	(64, 0.00632923946228168)	(66, 0.01560003468885401)	(68, 0.10490746504266685)	(70, 0.1753732116929682)	(72, 0.18962202436680164)	(74, 0.2543731610462143)	(76, 0.30452243416900904)	(78, 0.34693668340534395)	(80, 0.4232727033703072)	(82, 0.6139923950272206)	(84, 1.0675825405682744)	(86, 1.6757881106713097)	(88, 2.5223944989280414)	(90, 3.952634115846008)	(92, 7.737082815017192)	(94, 21.111187855100987)	(96, 38.809379868692034)	(98, 40.94053621753224)	(100, 42.65651596165508)	(102, 45.602983947546655)	(104, 46.754493102059755)	(106, 47.15593763221354)	(108, 47.5313655218596)	(110, 48.147859763824364)	(112, 48.89035465630143)	(114, 49.378046307565995)	(116, 49.9924158251271)	(118, 50.64918354415713)	(120, 50.96085525870253)	(122, 51.29695648955987)	(124, 51.67564528554146)	(126, 51.92257709684462)	(128, 52.183781792472715)	(130, 52.71160409567268)	(132, 53.998858105062936)	(134, 60.78872305411352)	(136, 69.30938625570346)	(138, 73.04653255568849)
CD4_S4.raw - illumina_universal_adapter	(1, 0.00853794520165052)	(2, 0.04151064340526269)	(3, 0.060764368734086284)	(4, 0.07745879123642001)	(5, 0.09355326876723238)	(6, 0.10463664523533761)	(7, 0.11633383823499935)	(8, 0.14815172906568316)	(9, 0.21183259329716508)	(10, 0.38692289195115903)	(12, 0.747356306070146)	(14, 1.2625131008214807)	(16, 2.0294109670911804)	(18, 3.4423663383291525)	(20, 7.216732860595192)	(22, 21.358075665059808)	(24, 36.128899460250665)	(26, 37.543933831548905)	(28, 39.77107001538148)	(30, 42.317323171768265)	(32, 43.031531651189354)	(34, 43.63926203578044)	(36, 44.14527747246859)	(38, 45.039557874541316)	(40, 45.97023898409134)	(42, 46.40855947386282)	(44, 46.98525917865522)	(46, 47.57603678293832)	(48, 47.82922223064534)	(50, 48.0565094757667)	(52, 48.29928951950234)	(54, 48.52338110398059)	(56, 48.69884593475554)	(58, 49.10721772641108)	(60, 50.466443343797806)	(62, 60.05990849347992)	(64, 68.56509947399738)	(66, 71.95995051737104)	(68, 78.53609126765181)	(70, 83.86081443119426)	(72, 90.88073933195538)	(74, 92.61221866655606)	(76, 95.08770952731342)	(78, 95.99229476454727)	(80, 96.26677305690828)	(82, 96.34787833448895)	(84, 96.4366649884391)	(86, 96.48276018243598)	(88, 96.74363567623752)	(90, 97.08518989714862)	(92, 97.22031449739627)	(94, 97.34314195967275)	(96, 97.41039475061328)	(98, 97.46983265141901)	(100, 97.49801099168546)	(102, 97.51291251505324)	(104, 97.52435655208225)	(106, 97.53488159825895)	(108, 97.5451153416749)	(110, 97.55381627770697)	(112, 97.56199876418272)	(114, 97.57164470024217)	(116, 97.57944051698195)	(118, 97.58571393000786)	(120, 97.59183475587338)	(122, 97.59805268265914)	(124, 97.6072998113676)	(126, 97.61773295845904)	(128, 97.62649111467626)	(130, 97.63533770208869)	(132, 97.6456356014698)	(134, 97.65852401468749)	(136, 97.66884792324366)	(138, 97.68380146496159)
CD4_S4.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0016541835341946786)	(4, 0.001810238584590403)	(5, 0.0018518532646959295)	(6, 0.0018622569347223111)	(7, 0.001869192714739899)	(8, 0.0018761284947574866)	(9, 0.0018830642747750745)	(10, 0.0018865321647838682)	(12, 0.0018969358348102498)	(14, 0.0019004037248190437)	(16, 0.0019004037248190437)	(18, 0.0019004037248190437)	(20, 0.0019004037248190437)	(22, 0.0019004037248190437)	(24, 0.0019004037248190437)	(26, 0.0019004037248190437)	(28, 0.0019056055598322347)	(30, 0.0019073395048366316)	(32, 0.0019073395048366316)	(34, 0.0019073395048366316)	(36, 0.0019073395048366316)	(38, 0.0019073395048366316)	(40, 0.001921211064871807)	(42, 0.0025176881463843536)	(44, 0.0025246239264019414)	(46, 0.002529825761415132)	(48, 0.0026616055817493)	(50, 0.0027274954919163834)	(52, 0.00279165145707907)	(54, 0.0029164954973956493)	(56, 0.0031332386229452665)	(58, 0.0033551835835080746)	(60, 0.004787422157139945)	(62, 0.01284159670256372)	(64, 0.031597679815125394)	(66, 0.06781805701197303)	(68, 0.23508306186112365)	(70, 0.35835094616870633)	(72, 0.37359925853737297)	(74, 0.42209249847534214)	(76, 0.46475101347351566)	(78, 0.49766128965696954)	(80, 0.5620825484053289)	(82, 0.7310121404587006)	(84, 1.093560967483052)	(86, 1.5905529543683241)	(88, 2.3335327832473727)	(90, 3.5225664966175243)	(92, 6.128026939124451)	(94, 16.77648491755681)	(96, 34.28806368211268)	(98, 37.12638253504008)	(100, 39.13204885924105)	(102, 41.9959763459384)	(104, 43.34698479794928)	(106, 44.00259633989178)	(108, 44.59044184317244)	(110, 45.52447466841596)	(112, 46.46792454897836)	(114, 47.04683503365136)	(116, 47.66062902392282)	(118, 48.23537630664027)	(120, 48.5539852333082)	(122, 48.82073359883962)	(124, 49.0748120282239)	(126, 49.30839696160123)	(128, 49.55573554675343)	(130, 50.049570019785705)	(132, 51.57311987129412)	(134, 59.36924525327353)	(136, 68.64099424683982)	(138, 72.70034330030353)
CD56_S1.raw - illumina_universal_adapter	(1, 0.05396217939917522)	(2, 0.20342769778286574)	(3, 0.23962203937711896)	(4, 0.26647559326109793)	(5, 0.2888088903893271)	(6, 0.31313432924491175)	(7, 0.3410275421827132)	(8, 0.39720464739220573)	(9, 0.49239156840381854)	(10, 0.7782848931856872)	(12, 1.442150787241459)	(14, 2.4500372792032157)	(16, 3.7501196253662865)	(18, 5.612023069324078)	(20, 10.237616336879496)	(22, 28.205945287070527)	(24, 46.68034281110635)	(26, 48.65795675612427)	(28, 50.88927495469088)	(30, 53.439795927197)	(32, 55.028199621770746)	(34, 57.27156753334626)	(36, 58.12667096134109)	(38, 59.23117309832476)	(40, 60.36713622232844)	(42, 60.883594929201806)	(44, 61.7245580254382)	(46, 62.52719418751808)	(48, 62.819398113606454)	(50, 63.17678252773533)	(52, 63.506562702483286)	(54, 63.72251796898924)	(56, 63.90981480766372)	(58, 64.24006799499361)	(60, 65.28750996232301)	(62, 72.80553480901204)	(64, 79.94760828694797)	(66, 82.30416342768746)	(68, 87.0029073645702)	(70, 89.99415337076192)	(72, 94.94854365722092)	(74, 95.3493241505824)	(76, 96.11768708018923)	(78, 96.6997702288916)	(80, 96.90251343065145)	(82, 96.94987603518723)	(84, 97.00112767491036)	(86, 97.0485112663525)	(88, 97.11862690614385)	(90, 97.19415232464536)	(92, 97.2300044182281)	(94, 97.25175008197809)	(96, 97.26909172414604)	(98, 97.28183561944243)	(100, 97.29187543257243)	(102, 97.30100312246421)	(104, 97.31015341363978)	(106, 97.31850943112826)	(108, 97.32689935054242)	(110, 97.3338266440206)	(112, 97.34025348050085)	(114, 97.34686274162871)	(116, 97.35281979428183)	(118, 97.3582796186918)	(120, 97.36304041768206)	(122, 97.36722972706819)	(124, 97.37486411785316)	(126, 97.38417261801519)	(128, 97.39007639621369)	(130, 97.39541675669511)	(132, 97.40011620934368)	(134, 97.40485117829533)	(136, 97.40909860526833)	(138, 97.41478928564833)
CD56_S1.raw - polya	(1, 0.0008039599515583456)	(2, 0.0009427964090563732)	(3, 0.001194639285448144)	(4, 0.0017532138702657898)	(5, 0.004407250336855991)	(6, 0.006793300152926744)	(7, 0.008785441880282163)	(8, 0.01230801339494142)	(9, 0.01686055769894651)	(10, 0.03019047199616992)	(12, 0.05926056606787902)	(14, 0.09323836747440212)	(16, 0.12032762046064516)	(18, 0.12953764360048525)	(20, 0.13279707159686335)	(22, 0.13513146133572554)	(24, 0.13706548547622133)	(26, 0.13865726160521033)	(28, 0.1400811424832715)	(30, 0.14138233067796233)	(32, 0.14235095712562296)	(34, 0.1431549170771813)	(36, 0.14393950449978646)	(38, 0.14508571246285157)	(40, 0.14723444879924547)	(42, 0.14757023930110114)	(44, 0.14782046780008015)	(46, 0.14800612120254844)	(48, 0.14816110143417416)	(50, 0.1483402973269914)	(52, 0.14847590502966385)	(54, 0.14858729707114482)	(56, 0.148669630319196)	(58, 0.14879232300256634)	(60, 0.14891501568593668)	(62, 0.14899734893398786)	(64, 0.14906676716273687)	(66, 0.14914102852372418)	(68, 0.14920883237506044)	(70, 0.14929116562311157)	(72, 0.1493654269840989)	(74, 0.1494493746095628)	(76, 0.14953816536726505)	(78, 0.1496398711442694)	(80, 0.14973189065679718)	(82, 0.14979485137589513)	(84, 0.1498900996432484)	(86, 0.14998373353318895)	(88, 0.15006122364900182)	(90, 0.150191988219436)	(92, 0.15025817769335947)	(94, 0.15032759592210848)	(96, 0.15038571350896812)	(98, 0.15042930169911284)	(100, 0.15046481800219375)	(102, 0.1504971055504491)	(104, 0.1505277787212917)	(106, 0.1505713669114364)	(108, 0.15061495510158113)	(110, 0.15067307268844077)	(112, 0.15069890272704506)	(114, 0.1507118177463472)	(116, 0.1507376477849515)	(118, 0.15076993533320684)	(120, 0.150782850352509)	(122, 0.15081190914593884)	(124, 0.15082159541041543)	(126, 0.1508264385426537)	(128, 0.15085065420384525)	(130, 0.15087486986503676)	(132, 0.15090231428105383)	(134, 0.15092330118741978)	(136, 0.150942673716373)	(138, 0.15094913122602407)
CD56_S1.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0018242464764275713)	(4, 0.0019921417273554187)	(5, 0.002027658030436309)	(6, 0.0020470305593895226)	(7, 0.002056716823866129)	(8, 0.0020890043721214844)	(9, 0.0021019193914236264)	(10, 0.002109991278487465)	(12, 0.0021148344107257684)	(14, 0.0021148344107257684)	(16, 0.0021148344107257684)	(18, 0.0021148344107257684)	(20, 0.0021148344107257684)	(22, 0.0021148344107257684)	(24, 0.002116448788138536)	(26, 0.0021212919203768394)	(28, 0.0021212919203768394)	(30, 0.0021212919203768394)	(32, 0.0021245206752023753)	(34, 0.0021245206752023753)	(36, 0.0021245206752023753)	(38, 0.0021245206752023753)	(40, 0.0021245206752023753)	(42, 0.002179409507236479)	(44, 0.002179409507236479)	(46, 0.0021826382620620146)	(48, 0.002192324526538621)	(50, 0.002193938903951389)	(52, 0.002206853923253531)	(54, 0.0022326839618578152)	(56, 0.0022649715101131706)	(58, 0.0022924159261302223)	(60, 0.0024215661191516434)	(62, 0.0037582706169233503)	(64, 0.005669693473640381)	(66, 0.01170907937480458)	(68, 0.09791360446177755)	(70, 0.1665520889204245)	(72, 0.1999131981552703)	(74, 0.3689465851591188)	(76, 0.44327090686553383)	(78, 0.4971426811295941)	(80, 0.6025324673898991)	(82, 0.8572101905184902)	(84, 1.4801290158768206)	(86, 2.4074564605640534)	(88, 3.7180548611938926)	(90, 5.472069462656416)	(92, 8.841234763667416)	(94, 22.84014221760955)	(96, 45.15972036658508)	(98, 48.62993277861604)	(100, 50.53248947458215)	(102, 53.519265269717906)	(104, 55.68282320513842)	(106, 57.74263156175)	(108, 58.87471049369857)	(110, 60.05046640654957)	(112, 61.241495944102766)	(114, 61.94409720980049)	(116, 62.766134959627)	(118, 63.642336686029296)	(120, 64.05260164669079)	(122, 64.42077978820143)	(124, 64.80616073542254)	(126, 65.03915898427505)	(128, 65.25386633704093)	(130, 65.60061846152932)	(132, 66.57773330562631)	(134, 72.43202922203926)	(136, 80.67539061153003)	(138, 83.6046977995261)
CD56_S2.raw - illumina_universal_adapter	(1, 0.06772209455224706)	(2, 0.2122970764258415)	(3, 0.25468214272547407)	(4, 0.28571209123419317)	(5, 0.3143026556720288)	(6, 0.3433509886571713)	(7, 0.37594165140771507)	(8, 0.4471477025549015)	(9, 0.5486248509948017)	(10, 0.8738340727268259)	(12, 1.7226490973664483)	(14, 2.936359418971895)	(16, 4.44385883524019)	(18, 7.0366429896894545)	(20, 14.478343553758616)	(22, 37.731403536799675)	(24, 59.834725584653384)	(26, 62.08106650854706)	(28, 64.9461138829833)	(30, 68.22580585697958)	(32, 69.45231372814078)	(34, 71.15864137981886)	(36, 71.80681092008406)	(38, 72.74932717240362)	(40, 73.68168342079068)	(42, 74.14106030255735)	(44, 74.84748319467145)	(46, 75.41103621594387)	(48, 75.61963427672569)	(50, 75.85698419623216)	(52, 76.07388046403598)	(54, 76.234517284603)	(56, 76.38249173558798)	(58, 76.63880986322245)	(60, 77.32839670406645)	(62, 81.97915309746476)	(64, 85.78417441903335)	(66, 87.37273727157657)	(68, 90.53138018753148)	(70, 92.5475956398314)	(72, 95.96336622712694)	(74, 96.21849538544726)	(76, 96.68358669337495)	(78, 96.99477406510759)	(80, 97.11065556142701)	(82, 97.15010353557076)	(84, 97.19227815122952)	(86, 97.22682738746266)	(88, 97.2730036375702)	(90, 97.32520461332383)	(92, 97.35625914000958)	(94, 97.37503379499341)	(96, 97.38821230629324)	(98, 97.39737996632789)	(100, 97.4064231993413)	(102, 97.41469836432232)	(104, 97.42369244098165)	(106, 97.4318047755398)	(108, 97.43993247145859)	(110, 97.44658547675519)	(112, 97.45279761100119)	(114, 97.45857041033267)	(116, 97.46371800228576)	(118, 97.46860137883573)	(120, 97.4728564757352)	(122, 97.4767521167955)	(124, 97.48311172010372)	(126, 97.48953123271846)	(128, 97.49358048738526)	(130, 97.49740546618656)	(132, 97.50091400095855)	(134, 97.50428889189288)	(136, 97.5074118565126)	(138, 97.51083129539282)
CD56_S2.raw - polya	(1, 0.0005284308062870977)	(2, 0.0006298157865631106)	(3, 0.0007373453110982759)	(4, 0.0011674634092389367)	(5, 0.00391714696520959)	(6, 0.00617526698044806)	(7, 0.007951040271343074)	(8, 0.010845120617403807)	(9, 0.014965037543165423)	(10, 0.025023656495397735)	(12, 0.0477262113969007)	(14, 0.07124445454880611)	(16, 0.09252301131825053)	(18, 0.09932502181313212)	(20, 0.10195949516424366)	(22, 0.10337274034384869)	(24, 0.10465234168581716)	(26, 0.10567233603283645)	(28, 0.10656943949467268)	(30, 0.10736054956803853)	(32, 0.10803798557261007)	(34, 0.10850189866417609)	(36, 0.10897195630000123)	(38, 0.10999809519127966)	(40, 0.11176618780185074)	(42, 0.11193055436078306)	(44, 0.11204883683777175)	(46, 0.11216558317869563)	(48, 0.11223778157374067)	(50, 0.11230229928846178)	(52, 0.11237296154744203)	(54, 0.11241443722119131)	(56, 0.11245437675887579)	(58, 0.11248817175230114)	(60, 0.11257573150799405)	(62, 0.11261567104567854)	(64, 0.11265407444729825)	(66, 0.112684797168594)	(68, 0.1127109114816954)	(70, 0.1127493148833151)	(72, 0.11280922418984185)	(74, 0.11287681417669251)	(76, 0.11294747643567277)	(78, 0.11301967483071781)	(80, 0.11308726481756848)	(82, 0.11315946321261353)	(84, 0.11319479434210364)	(86, 0.11322398092733463)	(88, 0.11329617932237966)	(90, 0.1134067811190444)	(92, 0.1134712988337655)	(94, 0.11351123837145)	(96, 0.11354196109274575)	(98, 0.11357268381404151)	(100, 0.1136003342632077)	(102, 0.11363720152876261)	(104, 0.1136648519779288)	(106, 0.11368328561070626)	(108, 0.11371400833200201)	(110, 0.11377545377459354)	(112, 0.1138061764958893)	(114, 0.11383075467292592)	(116, 0.11384765216963857)	(118, 0.11385994125815688)	(120, 0.1138829832991287)	(122, 0.11389680852371178)	(124, 0.11390602534010053)	(126, 0.11391216988435968)	(128, 0.11392753124500757)	(130, 0.1139352119253315)	(132, 0.11394903714991458)	(134, 0.11396900691875683)	(136, 0.11397668759908078)	(138, 0.11399051282366388)
CD56_S2.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0017327614810809483)	(4, 0.0018587246383935704)	(5, 0.0018986641760780603)	(6, 0.0019201700809850933)	(7, 0.0019263146252442456)	(8, 0.0019478205301512786)	(9, 0.001957037346540007)	(10, 0.001961645754734371)	(12, 0.0019631818907991593)	(14, 0.0019631818907991593)	(16, 0.0019647180268639475)	(18, 0.001966254162928736)	(20, 0.001966254162928736)	(22, 0.001966254162928736)	(24, 0.001966254162928736)	(26, 0.001969326435058312)	(28, 0.0019708625711230996)	(30, 0.001972398707187888)	(32, 0.001972398707187888)	(34, 0.001972398707187888)	(36, 0.001975470979317464)	(38, 0.00197854325144704)	(40, 0.0021152593612131787)	(42, 0.00984509603922677)	(44, 0.009888107849040836)	(46, 0.011315178253228957)	(48, 0.02000356383567031)	(50, 0.022512074029469233)	(52, 0.02463655020707114)	(54, 0.029148181829353716)	(56, 0.0353464908507736)	(58, 0.042736841458469024)	(60, 0.059098226684526814)	(62, 0.10059540633871186)	(64, 0.17538065451685447)	(66, 0.29489818490162584)	(68, 0.6471940938640581)	(70, 0.8784854927310042)	(72, 0.9494979907340273)	(74, 1.1125066053850787)	(76, 1.2031708920649355)	(78, 1.292715335553562)	(80, 1.4366359234635566)	(82, 1.8313337962223342)	(84, 2.701783761198432)	(86, 3.857458862276185)	(88, 5.235176286974795)	(90, 7.183261032529217)	(92, 11.846025401545967)	(94, 29.305517493517506)	(96, 55.83864426775466)	(98, 61.27555823184595)	(100, 64.34288400329348)	(102, 68.07722924065722)	(104, 70.61271859216203)	(106, 72.07328444324284)	(108, 73.08311417792143)	(110, 74.18561746525259)	(112, 75.1539807429983)	(114, 75.80839774863898)	(116, 76.48788603099308)	(118, 77.03151229523306)	(120, 77.32817396433707)	(122, 77.59284252761972)	(124, 77.81463599719808)	(126, 78.00708005112261)	(128, 78.23393355289838)	(130, 78.63341341722685)	(132, 79.57487741634203)	(134, 83.1737554225603)	(136, 87.29163850417214)	(138, 89.33338453786882)
CD56_S3.raw - illumina_universal_adapter	(1, 0.016192010842837997)	(2, 0.06873946938368539)	(3, 0.08681157020044716)	(4, 0.1001975291533652)	(5, 0.11109078454535058)	(6, 0.12305435333073078)	(7, 0.14053144439919085)	(8, 0.18463962266382977)	(9, 0.24451379887459362)	(10, 0.4322974671315207)	(12, 0.8993308287999928)	(14, 1.719145118159782)	(16, 2.8672850824789133)	(18, 4.850727193452386)	(20, 10.449578803513557)	(22, 30.83326080551786)	(24, 51.61754984421307)	(26, 53.32752160202256)	(28, 55.57782558510935)	(30, 57.99657718001714)	(32, 58.912360556472834)	(34, 59.46015152821036)	(36, 59.9016153141567)	(38, 60.72846937861547)	(40, 61.85131086632856)	(42, 62.30231945362191)	(44, 63.01020501571389)	(46, 63.60569182804458)	(48, 63.82708650554507)	(50, 64.12228703720916)	(52, 64.40539021091371)	(54, 64.59667528268949)	(56, 64.74928120005791)	(58, 65.0510708485501)	(60, 66.05493503197702)	(62, 74.67067618738596)	(64, 82.56517926904355)	(66, 84.8114590146019)	(68, 88.44038650143281)	(70, 90.92666994238897)	(72, 95.8006218802477)	(74, 96.19765533768106)	(76, 96.9321367792918)	(78, 97.3444538894907)	(80, 97.47109238438222)	(82, 97.50869066309295)	(84, 97.55601858345713)	(86, 97.5965531824642)	(88, 97.65865776503918)	(90, 97.75074520570016)	(92, 97.79971204344795)	(94, 97.82382050055742)	(96, 97.84047021120662)	(98, 97.85375582827892)	(100, 97.86344322071946)	(102, 97.87123115896351)	(104, 97.8797144488365)	(106, 97.88781925617727)	(108, 97.89584484624385)	(110, 97.90248677458806)	(112, 97.90868684658071)	(114, 97.91446266606053)	(116, 97.91959946619528)	(118, 97.9242151927043)	(120, 97.92869360927139)	(122, 97.93324244119333)	(124, 97.94029805974715)	(126, 97.94825851561052)	(128, 97.95372802829684)	(130, 97.95885250574449)	(132, 97.96363898948896)	(134, 97.968553981256)	(136, 97.97268032104895)	(138, 97.97900009914483)
CD56_S3.raw - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0019434637932695313)	(4, 0.002123022948082477)	(5, 0.002165272160979641)	(6, 0.0021934383029110836)	(7, 0.0022075213738768046)	(8, 0.0022180836771010957)	(9, 0.002225125212583956)	(10, 0.002233927131937532)	(12, 0.0022409686674203927)	(14, 0.002248010202903253)	(16, 0.0022497705867739683)	(18, 0.0022497705867739683)	(20, 0.0022497705867739683)	(22, 0.0022497705867739683)	(24, 0.0022497705867739683)	(26, 0.0022515309706446834)	(28, 0.0022532913545153985)	(30, 0.0022532913545153985)	(32, 0.0022532913545153985)	(34, 0.002256812122256829)	(36, 0.002256812122256829)	(38, 0.002256812122256829)	(40, 0.0022603328899982594)	(42, 0.0023659559222411687)	(44, 0.0023659559222411687)	(46, 0.0023747578415947443)	(48, 0.0023870805286897506)	(50, 0.002394122064172611)	(52, 0.0024117259028797627)	(54, 0.0024469335802940655)	(56, 0.0024909431770619448)	(58, 0.0025455150770541143)	(60, 0.0030525056318200794)	(62, 0.0064887749474560625)	(64, 0.01464991457209152)	(66, 0.04354485542601008)	(68, 0.21552555767552717)	(70, 0.34062371668015823)	(72, 0.35934891991295537)	(74, 0.4256396953324759)	(76, 0.46345274087543753)	(78, 0.49479813607739154)	(80, 0.5716212881954009)	(82, 0.751673350492147)	(84, 1.2062924851043357)	(86, 1.9748884057456677)	(88, 3.134562405185725)	(90, 4.969711539274023)	(92, 9.287236062125496)	(94, 25.820055461950076)	(96, 49.906773590974666)	(98, 52.99478616546707)	(100, 55.07663725558126)	(102, 57.93531406093238)	(104, 59.35519744183833)	(106, 59.992868332862955)	(108, 60.50539001375071)	(110, 61.36449255033712)	(112, 62.48914899382091)	(114, 63.07896913047176)	(116, 63.792614668588726)	(118, 64.4313294672487)	(120, 64.72557411047099)	(122, 65.04266853633517)	(124, 65.34871479302674)	(126, 65.54813811943683)	(128, 65.73467543591329)	(130, 66.07508966691285)	(132, 67.16669490322396)	(134, 74.4508852195917)	(136, 83.00361343434838)	(138, 85.78112598095632)
CD56_S4.raw - illumina_universal_adapter	(1, 0.015815689443321658)	(2, 0.062045398712034114)	(3, 0.08106081333821075)	(4, 0.09570238324977794)	(5, 0.1079591268036455)	(6, 0.1210773348298202)	(7, 0.13757155227449572)	(8, 0.1771124389416267)	(9, 0.23701581788468098)	(10, 0.4077653937547884)	(12, 0.8003886368911284)	(14, 1.4324856988582302)	(16, 2.270186723588514)	(18, 3.82539285939749)	(20, 8.570570338041986)	(22, 25.92008396983584)	(24, 42.97204810550658)	(26, 44.42850014511851)	(28, 47.0087591977963)	(30, 49.897603804972164)	(32, 50.80692113196298)	(34, 51.386244348177726)	(36, 51.83848492413891)	(38, 52.756855943383094)	(40, 53.91480389110531)	(42, 54.421458088822106)	(44, 55.12691766481794)	(46, 55.77799189105821)	(48, 56.04792962147916)	(50, 56.39757110923563)	(52, 56.75026264688053)	(54, 57.00289126103165)	(56, 57.22409138947301)	(58, 57.64015045759729)	(60, 58.97879473603298)	(62, 68.38926299951552)	(64, 76.17125408139582)	(66, 78.91509991557649)	(68, 84.73975391119839)	(70, 88.47765989795073)	(72, 94.23838092309211)	(74, 94.98563316740663)	(76, 96.22523065129175)	(78, 96.84737596923901)	(80, 97.04373665104256)	(82, 97.10696781069814)	(84, 97.18872378262597)	(86, 97.24994264110106)	(88, 97.36597591850905)	(90, 97.52090148964172)	(92, 97.6012555029785)	(94, 97.65078139484203)	(96, 97.68248095914058)	(98, 97.70316608482891)	(100, 97.71826665897669)	(102, 97.7299446580588)	(104, 97.74126343643434)	(106, 97.75198018751453)	(108, 97.76274683035956)	(110, 97.77194354567202)	(112, 97.78061307133638)	(114, 97.79033697629696)	(116, 97.79838285490123)	(118, 97.80530616879742)	(120, 97.8117289019867)	(122, 97.81850420364728)	(124, 97.83070107708338)	(126, 97.84500005687661)	(128, 97.85510646536736)	(130, 97.86439132279766)	(132, 97.87348160234521)	(134, 97.88408027624871)	(136, 97.89337012285549)	(138, 97.90811979159079)
