Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent	reads_mapped_MQ1
CD4_S4_mature	29672855.0	0.0	29672855.0	1.0	29672855.0	0.0	10147766.0	0.0	19525089.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	582710832.0	582710832.0	0.0	194596711.0	194596711.0	0.0	0.0	1821563.0	0.009360708	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.19881908902935	0.0	65.80118091097064	0.0	0.0	0.0	0.0	0.0	10147766.0
CD4_S4_mature_hairpin	19680497.0	0.0	19680497.0	1.0	19680497.0	0.0	1131895.0	0.0	18548602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390619691.0	390619691.0	0.0	21383097.0	21383097.0	0.0	0.0	805181.0	0.03765503	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.751353738678449	0.0	94.24864626132155	0.0	0.0	0.0	0.0	0.0	1131895.0
CD4_S4_mature_hairpin_genome	31483639.0	0.0	31483639.0	1.0	31483639.0	0.0	31474785.0	0.0	8854.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	614693638.0	614693638.0	0.0	614516655.0	614516655.0	0.0	0.0	3042100.0	0.004950394	20.0	20.0	0.0	20.0	20.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.97187745673237	0.0	0.028122543267631802	0.0	0.0	0.0	0.0	0.0	31474785.0
CD56_S1_mature	32056220.0	0.0	32056220.0	1.0	32056220.0	0.0	13728334.0	0.0	18327886.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	623513162.0	623513162.0	0.0	261030442.0	261030442.0	0.0	0.0	2976863.0	0.01140427	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.825804165307076	0.0	57.174195834692924	0.0	0.0	0.0	0.0	0.0	13728334.0
CD56_S1_mature_hairpin	18559215.0	0.0	18559215.0	1.0	18559215.0	0.0	1884236.0	0.0	16674979.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	366007818.0	366007818.0	0.0	35463063.0	35463063.0	0.0	0.0	1348842.0	0.03803512	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.152563025968501	0.0	89.8474369740315	0.0	0.0	0.0	0.0	0.0	1884236.0
CD56_S1_mature_hairpin_genome	47008107.0	0.0	47008107.0	1.0	47008107.0	0.0	46989293.0	0.0	18814.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	912997352.0	912997352.0	0.0	912621209.0	912621209.0	0.0	0.0	4833984.0	0.005296813	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.95997711628762	0.0	0.04002288371237753	0.0	0.0	0.0	0.0	0.0	46989293.0
CD56_S2_mature	33968531.0	0.0	33968531.0	1.0	33968531.0	0.0	18665015.0	0.0	15303516.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	655633807.0	655633807.0	0.0	354424576.0	354424576.0	0.0	0.0	3958700.0	0.01116937	19.0	19.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.947960510862245	0.0	45.052039489137755	0.0	0.0	0.0	0.0	0.0	18665015.0
CD56_S2_mature_hairpin	15613556.0	0.0	15613556.0	1.0	15613556.0	0.0	2211889.0	0.0	13401667.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306035100.0	306035100.0	0.0	41397913.0	41397913.0	0.0	0.0	1366331.0	0.03300483	20.0	20.0	0.0	20.0	20.0	0.0	39.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.16646534588277	0.0	85.83353465411723	0.0	0.0	0.0	0.0	0.0	2211889.0
CD56_S2_mature_hairpin_genome	41162184.0	0.0	41162184.0	1.0	41162184.0	0.0	41134551.0	0.0	27633.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	792259702.0	792259702.0	0.0	791707323.0	791707323.0	0.0	0.0	5013291.0	0.006332253	19.0	19.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.93286799359335	0.0	0.06713200640665713	0.0	0.0	0.0	0.0	0.0	41134551.0
CD56_S3_mature	29281162.0	0.0	29281162.0	1.0	29281162.0	0.0	13555631.0	0.0	15725531.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	572331263.0	572331263.0	0.0	261200507.0	261200507.0	0.0	0.0	2226843.0	0.008525416	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.294716719234025	0.0	53.70528328076597	0.0	0.0	0.0	0.0	0.0	13555631.0
CD56_S3_mature_hairpin	15925535.0	0.0	15925535.0	1.0	15925535.0	0.0	1979657.0	0.0	13945878.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314279445.0	314279445.0	0.0	37750910.0	37750910.0	0.0	0.0	894137.0	0.02368518	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.430709549161142	0.0	87.56929045083885	0.0	0.0	0.0	0.0	0.0	1979657.0
CD56_S3_mature_hairpin_genome	26767276.0	0.0	26767276.0	1.0	26767276.0	0.0	26755664.0	0.0	11612.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	516030351.0	516030351.0	0.0	515798277.0	515798277.0	0.0	0.0	3260190.0	0.006320669	19.0	19.0	0.0	20.0	20.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.95661867124619	0.0	0.043381328753811184	0.0	0.0	0.0	0.0	0.0	26755664.0
CD56_S4_mature	30842623.0	0.0	30842623.0	1.0	30842623.0	0.0	12151597.0	0.0	18691026.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	605271028.0	605271028.0	0.0	234108300.0	234108300.0	0.0	0.0	1964113.0	0.008389763	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.39871456458162	0.0	60.60128543541838	0.0	0.0	0.0	0.0	0.0	12151597.0
CD56_S4_mature_hairpin	18868967.0	0.0	18868967.0	1.0	18868967.0	0.0	1571274.0	0.0	17297693.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374049104.0	374049104.0	0.0	29948029.0	29948029.0	0.0	0.0	780999.0	0.02607848	20.0	20.0	0.0	20.0	20.0	0.0	39.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.327292108783697	0.0	91.6727078912163	0.0	0.0	0.0	0.0	0.0	1571274.0
CD56_S4_mature_hairpin_genome	29748481.0	0.0	29748481.0	1.0	29748481.0	0.0	29737158.0	0.0	11323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	578959706.0	578959706.0	0.0	578733365.0	578733365.0	0.0	0.0	3241348.0	0.005600762	19.0	19.0	0.0	20.0	20.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.96193755237452	0.0	0.03806244762547708	0.0	0.0	0.0	0.0	0.0	29737158.0
