sample	raw_reads	passed_fastp	failed_fastp	mature_miRNA_mapped	hairpin_miRNA_mapped	RNAcentral_matched	candidate_shortRNA	mature_hairpin_unmapped	not_tRNA	tRNA_matched	cell_type	replicate
hsa-miR-6729-5p				22933.0							hsa-miR-6729-5p	
hsa-miR-6730-3p				3674.0							hsa-miR-6730-3p	
hsa-miR-6730-5p				4130.0							hsa-miR-6730-5p	
hsa-miR-6731-3p				7663.0							hsa-miR-6731-3p	
hsa-miR-6731-5p				8446.0							hsa-miR-6731-5p	
hsa-miR-6732-3p				6595.0							hsa-miR-6732-3p	
hsa-miR-6732-5p				5241.0							hsa-miR-6732-5p	
hsa-miR-6733-3p				1230.0							hsa-miR-6733-3p	
hsa-miR-6733-5p				7821.0							hsa-miR-6733-5p	
hsa-miR-6734-3p				3139.0							hsa-miR-6734-3p	
hsa-miR-6734-5p				6614.0							hsa-miR-6734-5p	
hsa-miR-6735-3p				4973.0							hsa-miR-6735-3p	
hsa-miR-6735-5p				3991.0							hsa-miR-6735-5p	
hsa-miR-6736-3p				3849.0							hsa-miR-6736-3p	
hsa-miR-6736-5p				2095.0							hsa-miR-6736-5p	
hsa-miR-6737-3p				3434.0							hsa-miR-6737-3p	
hsa-miR-6737-5p				7807.0							hsa-miR-6737-5p	
hsa-miR-6738-3p				1734.0							hsa-miR-6738-3p	
hsa-miR-6738-5p				2908.0							hsa-miR-6738-5p	
hsa-miR-6739-3p				1722.0							hsa-miR-6739-3p	
hsa-miR-6739-5p				1369.0							hsa-miR-6739-5p	
hsa-miR-6740-3p				2126.0							hsa-miR-6740-3p	
hsa-miR-6740-5p				4885.0							hsa-miR-6740-5p	
hsa-miR-6741-3p				15264.0							hsa-miR-6741-3p	
hsa-miR-6741-5p				5719.0							hsa-miR-6741-5p	
hsa-miR-6742-3p				5017.0							hsa-miR-6742-3p	
hsa-miR-6742-5p				9145.0							hsa-miR-6742-5p	
hsa-miR-6743-3p				4408.0							hsa-miR-6743-3p	
hsa-miR-6743-5p				10170.0							hsa-miR-6743-5p	
hsa-miR-6744-3p				19503.0							hsa-miR-6744-3p	
hsa-miR-6744-5p				2590.0							hsa-miR-6744-5p	
hsa-miR-6745				2184.0							hsa-miR-6745	
hsa-miR-6746-3p				11831.0							hsa-miR-6746-3p	
hsa-miR-6746-5p				4791.0							hsa-miR-6746-5p	
hsa-miR-6747-3p				3404.0							hsa-miR-6747-3p	
hsa-miR-6747-5p				5714.0							hsa-miR-6747-5p	
hsa-miR-6748-3p				3108.0							hsa-miR-6748-3p	
hsa-miR-6748-5p				4611.0							hsa-miR-6748-5p	
hsa-miR-6749-3p				5696.0							hsa-miR-6749-3p	
hsa-miR-6749-5p				25911.0							hsa-miR-6749-5p	
hsa-miR-675-3p				5410.0							hsa-miR-675-3p	
hsa-miR-675-5p				16844.0							hsa-miR-675-5p	
hsa-miR-6750-3p				8505.0							hsa-miR-6750-3p	
hsa-miR-6750-5p				4577.0							hsa-miR-6750-5p	
hsa-miR-6751-3p				10672.0							hsa-miR-6751-3p	
hsa-miR-6751-5p				3662.0							hsa-miR-6751-5p	
hsa-miR-6752-3p				4133.0							hsa-miR-6752-3p	
hsa-miR-6752-5p				11506.0							hsa-miR-6752-5p	
hsa-miR-6753-3p				3634.0							hsa-miR-6753-3p	
hsa-miR-6753-5p				10962.0							hsa-miR-6753-5p	
hsa-miR-6754-3p				5404.0							hsa-miR-6754-3p	
hsa-miR-6754-5p				4889.0							hsa-miR-6754-5p	
hsa-miR-6755-3p				1173.0							hsa-miR-6755-3p	
hsa-miR-6755-5p				3662.0							hsa-miR-6755-5p	
hsa-miR-6756-3p				6336.0							hsa-miR-6756-3p	
hsa-miR-6756-5p				18609.0							hsa-miR-6756-5p	
hsa-miR-6757-3p				1041.0							hsa-miR-6757-3p	
hsa-miR-6757-5p				4903.0							hsa-miR-6757-5p	
hsa-miR-6758-3p				3025.0							hsa-miR-6758-3p	
hsa-miR-6758-5p				6327.0							hsa-miR-6758-5p	
hsa-miR-6759-3p				2824.0							hsa-miR-6759-3p	
hsa-miR-6759-5p				4923.0							hsa-miR-6759-5p	
hsa-miR-676-3p				785.0							hsa-miR-676-3p	
hsa-miR-676-5p				18000.0							hsa-miR-676-5p	
hsa-miR-6760-3p				5186.0							hsa-miR-6760-3p	
hsa-miR-6760-5p				2894.0							hsa-miR-6760-5p	
hsa-miR-6761-3p				7211.0							hsa-miR-6761-3p	
hsa-miR-6761-5p				3066.0							hsa-miR-6761-5p	
hsa-miR-6762-3p				2916.0							hsa-miR-6762-3p	
hsa-miR-6762-5p				2990.0							hsa-miR-6762-5p	
hsa-miR-6763-3p				17257.0							hsa-miR-6763-3p	
hsa-miR-6763-5p				14947.0							hsa-miR-6763-5p	
hsa-miR-6764-3p				10299.0							hsa-miR-6764-3p	
hsa-miR-6764-5p				14248.0							hsa-miR-6764-5p	
hsa-miR-6765-3p				32451.0							hsa-miR-6765-3p	
hsa-miR-6765-5p				7240.0							hsa-miR-6765-5p	
hsa-miR-6766-3p				5330.0							hsa-miR-6766-3p	
hsa-miR-6766-5p				5254.0							hsa-miR-6766-5p	
hsa-miR-6767-3p				2213.0							hsa-miR-6767-3p	
hsa-miR-6767-5p				3063.0							hsa-miR-6767-5p	
hsa-miR-6768-3p				1847.0							hsa-miR-6768-3p	
hsa-miR-6768-5p				5346.0							hsa-miR-6768-5p	
hsa-miR-6769a-3p				3457.0							hsa-miR-6769a-3p	
hsa-miR-6769a-5p				2648.0							hsa-miR-6769a-5p	
hsa-miR-6769b-3p				6226.0							hsa-miR-6769b-3p	
hsa-miR-6769b-5p				11603.0							hsa-miR-6769b-5p	
hsa-miR-6770-3p				6044.0							hsa-miR-6770-3p	
hsa-miR-6770-5p				1083.0							hsa-miR-6770-5p	
hsa-miR-6771-3p				5481.0							hsa-miR-6771-3p	
hsa-miR-6771-5p				13773.0							hsa-miR-6771-5p	
hsa-miR-6772-3p				3086.0							hsa-miR-6772-3p	
hsa-miR-6772-5p				9904.0							hsa-miR-6772-5p	
hsa-miR-6773-3p				3538.0							hsa-miR-6773-3p	
hsa-miR-6773-5p				2198.0							hsa-miR-6773-5p	
hsa-miR-6774-3p				3518.0							hsa-miR-6774-3p	
hsa-miR-6774-5p				5605.0							hsa-miR-6774-5p	
hsa-miR-6775-3p				6964.0							hsa-miR-6775-3p	
hsa-miR-6775-5p				9416.0							hsa-miR-6775-5p	
hsa-miR-6776-3p				3209.0							hsa-miR-6776-3p	
hsa-miR-6776-5p				5396.0							hsa-miR-6776-5p	
hsa-miR-6777-3p				3450.0							hsa-miR-6777-3p	
hsa-miR-6777-5p				3269.0							hsa-miR-6777-5p	
hsa-miR-6778-3p				4399.0							hsa-miR-6778-3p	
hsa-miR-6778-5p				8577.0							hsa-miR-6778-5p	
hsa-miR-6779-3p				3296.0							hsa-miR-6779-3p	
hsa-miR-6779-5p				10353.0							hsa-miR-6779-5p	
hsa-miR-6780a-3p				1055.0							hsa-miR-6780a-3p	
hsa-miR-6780a-5p				6247.0							hsa-miR-6780a-5p	
hsa-miR-6780b-3p				1748.0							hsa-miR-6780b-3p	
hsa-miR-6780b-5p				3007.0							hsa-miR-6780b-5p	
hsa-miR-6781-3p				2220.0							hsa-miR-6781-3p	
hsa-miR-6781-5p				9847.0							hsa-miR-6781-5p	
hsa-miR-6782-3p				9495.0							hsa-miR-6782-3p	
hsa-miR-6782-5p				4212.0							hsa-miR-6782-5p	
hsa-miR-6783-3p				2447.0							hsa-miR-6783-3p	
hsa-miR-6783-5p				1885.0							hsa-miR-6783-5p	
hsa-miR-6784-3p				3200.0							hsa-miR-6784-3p	
hsa-miR-6784-5p				6991.0							hsa-miR-6784-5p	
hsa-miR-6785-3p				4988.0							hsa-miR-6785-3p	
hsa-miR-6785-5p				12404.0							hsa-miR-6785-5p	
hsa-miR-6786-3p				7205.0							hsa-miR-6786-3p	
hsa-miR-6786-5p				13645.0							hsa-miR-6786-5p	
hsa-miR-6787-3p				15393.0							hsa-miR-6787-3p	
hsa-miR-6787-5p				31738.0							hsa-miR-6787-5p	
hsa-miR-6788-3p				3646.0							hsa-miR-6788-3p	
hsa-miR-6788-5p				1721.0							hsa-miR-6788-5p	
hsa-miR-6789-3p				8159.0							hsa-miR-6789-3p	
hsa-miR-6789-5p				105133.0							hsa-miR-6789-5p	
hsa-miR-6790-3p				7677.0							hsa-miR-6790-3p	
hsa-miR-6790-5p				5058.0							hsa-miR-6790-5p	
hsa-miR-6791-3p				3467.0							hsa-miR-6791-3p	
hsa-miR-6791-5p				15976.0							hsa-miR-6791-5p	
hsa-miR-6792-3p				9747.0							hsa-miR-6792-3p	
hsa-miR-6792-5p				8900.0							hsa-miR-6792-5p	
hsa-miR-6793-3p				14460.0							hsa-miR-6793-3p	
hsa-miR-6793-5p				53389.0							hsa-miR-6793-5p	
hsa-miR-6794-3p				21194.0							hsa-miR-6794-3p	
hsa-miR-6794-5p				141346.0							hsa-miR-6794-5p	
hsa-miR-6795-3p				2032.0							hsa-miR-6795-3p	
hsa-miR-6795-5p				6035.0							hsa-miR-6795-5p	
hsa-miR-6796-3p				12374.0							hsa-miR-6796-3p	
hsa-miR-6796-5p				5580.0							hsa-miR-6796-5p	
hsa-miR-6797-3p				2994.0							hsa-miR-6797-3p	
hsa-miR-6797-5p				16590.0							hsa-miR-6797-5p	
hsa-miR-6798-3p				134732.0							hsa-miR-6798-3p	
hsa-miR-6798-5p				6732.0							hsa-miR-6798-5p	
hsa-miR-6799-3p				3624.0							hsa-miR-6799-3p	
hsa-miR-6799-5p				3234.0							hsa-miR-6799-5p	
hsa-miR-6800-3p				1470.0							hsa-miR-6800-3p	
hsa-miR-6800-5p				2754.0							hsa-miR-6800-5p	
hsa-miR-6801-3p				4689.0							hsa-miR-6801-3p	
hsa-miR-6801-5p				9295.0							hsa-miR-6801-5p	
hsa-miR-6802-3p				15558.0							hsa-miR-6802-3p	
hsa-miR-6802-5p				9160.0							hsa-miR-6802-5p	
hsa-miR-6803-3p				2880.0							hsa-miR-6803-3p	
hsa-miR-6803-5p				19541.0							hsa-miR-6803-5p	
hsa-miR-6804-3p				5358.0							hsa-miR-6804-3p	
hsa-miR-6804-5p				5736.0							hsa-miR-6804-5p	
hsa-miR-6805-3p				20979.0							hsa-miR-6805-3p	
hsa-miR-6805-5p				6090.0							hsa-miR-6805-5p	
hsa-miR-6806-3p				2305.0							hsa-miR-6806-3p	
hsa-miR-6806-5p				5182.0							hsa-miR-6806-5p	
hsa-miR-6807-3p				2187.0							hsa-miR-6807-3p	
hsa-miR-6807-5p				12970.0							hsa-miR-6807-5p	
hsa-miR-6808-3p				3105.0							hsa-miR-6808-3p	
hsa-miR-6808-5p				8710.0							hsa-miR-6808-5p	
hsa-miR-6809-3p				2232.0							hsa-miR-6809-3p	
hsa-miR-6809-5p				1196.0							hsa-miR-6809-5p	
hsa-miR-6810-3p				3290.0							hsa-miR-6810-3p	
hsa-miR-6810-5p				8023.0							hsa-miR-6810-5p	
hsa-miR-6811-3p				1458.0							hsa-miR-6811-3p	
hsa-miR-6811-5p				2066.0							hsa-miR-6811-5p	
hsa-miR-6812-3p				5272.0							hsa-miR-6812-3p	
hsa-miR-6812-5p				8517.0							hsa-miR-6812-5p	
hsa-miR-6813-3p				5504.0							hsa-miR-6813-3p	
hsa-miR-6813-5p				16867.0							hsa-miR-6813-5p	
hsa-miR-6814-3p				2325.0							hsa-miR-6814-3p	
hsa-miR-6814-5p				1403.0							hsa-miR-6814-5p	
hsa-miR-6815-3p				1609.0							hsa-miR-6815-3p	
hsa-miR-6815-5p				14398.0							hsa-miR-6815-5p	
hsa-miR-6816-3p				1174.0							hsa-miR-6816-3p	
hsa-miR-6816-5p				9492.0							hsa-miR-6816-5p	
hsa-miR-6817-3p				3166.0							hsa-miR-6817-3p	
hsa-miR-6817-5p				1501.0							hsa-miR-6817-5p	
hsa-miR-6818-3p				2963.0							hsa-miR-6818-3p	
hsa-miR-6818-5p				1375.0							hsa-miR-6818-5p	
hsa-miR-6819-3p				11188.0							hsa-miR-6819-3p	
hsa-miR-6819-5p				5439.0							hsa-miR-6819-5p	
hsa-miR-6820-3p				26408.0							hsa-miR-6820-3p	
hsa-miR-6820-5p				7004.0							hsa-miR-6820-5p	
hsa-miR-6821-3p				8261.0							hsa-miR-6821-3p	
hsa-miR-6821-5p				9150.0							hsa-miR-6821-5p	
hsa-miR-6822-3p				63313.0							hsa-miR-6822-3p	
hsa-miR-6822-5p				1959.0							hsa-miR-6822-5p	
hsa-miR-6823-3p				3446.0							hsa-miR-6823-3p	
hsa-miR-6823-5p				4409.0							hsa-miR-6823-5p	
hsa-miR-6824-3p				12259.0							hsa-miR-6824-3p	
hsa-miR-6824-5p				4808.0							hsa-miR-6824-5p	
hsa-miR-6825-3p				4427.0							hsa-miR-6825-3p	
hsa-miR-6825-5p				3408.0							hsa-miR-6825-5p	
hsa-miR-6826-3p				2140.0							hsa-miR-6826-3p	
hsa-miR-6826-5p				5206.0							hsa-miR-6826-5p	
hsa-miR-6827-3p				1876.0							hsa-miR-6827-3p	
hsa-miR-6827-5p				6398.0							hsa-miR-6827-5p	
hsa-miR-6828-3p				685.0							hsa-miR-6828-3p	
hsa-miR-6828-5p				1852.0							hsa-miR-6828-5p	
hsa-miR-6829-3p				4586.0							hsa-miR-6829-3p	
hsa-miR-6829-5p				18099.0							hsa-miR-6829-5p	
hsa-miR-6830-3p				1276.0							hsa-miR-6830-3p	
hsa-miR-6830-5p				9634.0							hsa-miR-6830-5p	
hsa-miR-6831-3p				1273.0							hsa-miR-6831-3p	
hsa-miR-6831-5p				10542.0							hsa-miR-6831-5p	
hsa-miR-6832-3p				4712.0							hsa-miR-6832-3p	
hsa-miR-6832-5p				2578.0							hsa-miR-6832-5p	
hsa-miR-6833-3p				4965.0							hsa-miR-6833-3p	
hsa-miR-6833-5p				2763.0							hsa-miR-6833-5p	
hsa-miR-6834-3p				3698.0							hsa-miR-6834-3p	
hsa-miR-6834-5p				5197.0							hsa-miR-6834-5p	
hsa-miR-6835-3p				1095.0							hsa-miR-6835-3p	
hsa-miR-6835-5p				3136.0							hsa-miR-6835-5p	
hsa-miR-6836-3p				21393.0							hsa-miR-6836-3p	
hsa-miR-6836-5p				13961.0							hsa-miR-6836-5p	
hsa-miR-6837-3p				2710.0							hsa-miR-6837-3p	
hsa-miR-6837-5p				4709.0							hsa-miR-6837-5p	
hsa-miR-6838-3p				1425.0							hsa-miR-6838-3p	
hsa-miR-6838-5p				1715.0							hsa-miR-6838-5p	
hsa-miR-6839-3p				733.0							hsa-miR-6839-3p	
hsa-miR-6839-5p				1075.0							hsa-miR-6839-5p	
hsa-miR-6840-3p				3064.0							hsa-miR-6840-3p	
hsa-miR-6840-5p				2331.0							hsa-miR-6840-5p	
hsa-miR-6841-3p				1099.0							hsa-miR-6841-3p	
hsa-miR-6841-5p				7699.0							hsa-miR-6841-5p	
hsa-miR-6842-3p				14711.0							hsa-miR-6842-3p	
hsa-miR-6842-5p				2512.0							hsa-miR-6842-5p	
hsa-miR-6843-3p				57916.0							hsa-miR-6843-3p	
hsa-miR-6844				336.0							hsa-miR-6844	
hsa-miR-6845-3p				5688.0							hsa-miR-6845-3p	
hsa-miR-6845-5p				4310.0							hsa-miR-6845-5p	
hsa-miR-6846-3p				4064.0							hsa-miR-6846-3p	
hsa-miR-6846-5p				14302.0							hsa-miR-6846-5p	
hsa-miR-6847-3p				1727.0							hsa-miR-6847-3p	
hsa-miR-6847-5p				4644.0							hsa-miR-6847-5p	
hsa-miR-6848-3p				1391.0							hsa-miR-6848-3p	
hsa-miR-6848-5p				8592.0							hsa-miR-6848-5p	
hsa-miR-6849-3p				8457.0							hsa-miR-6849-3p	
hsa-miR-6849-5p				8236.0							hsa-miR-6849-5p	
hsa-miR-6850-3p				8442.0							hsa-miR-6850-3p	
hsa-miR-6850-5p				11037.0							hsa-miR-6850-5p	
hsa-miR-6851-3p				8719.0							hsa-miR-6851-3p	
hsa-miR-6851-5p				7425.0							hsa-miR-6851-5p	
hsa-miR-6852-3p				3789.0							hsa-miR-6852-3p	
hsa-miR-6852-5p				9286.0							hsa-miR-6852-5p	
hsa-miR-6853-3p				2648.0							hsa-miR-6853-3p	
hsa-miR-6853-5p				1660.0							hsa-miR-6853-5p	
hsa-miR-6854-3p				1246.0							hsa-miR-6854-3p	
hsa-miR-6854-5p				4516.0							hsa-miR-6854-5p	
hsa-miR-6855-3p				1974.0							hsa-miR-6855-3p	
hsa-miR-6855-5p				7792.0							hsa-miR-6855-5p	
hsa-miR-6856-3p				2648.0							hsa-miR-6856-3p	
hsa-miR-6856-5p				4294.0							hsa-miR-6856-5p	
hsa-miR-6857-3p				6684.0							hsa-miR-6857-3p	
hsa-miR-6857-5p				4510.0							hsa-miR-6857-5p	
hsa-miR-6858-3p				7940.0							hsa-miR-6858-3p	
hsa-miR-6858-5p				13016.0							hsa-miR-6858-5p	
hsa-miR-6859-3p				2654.0							hsa-miR-6859-3p	
hsa-miR-6859-5p				17772.0							hsa-miR-6859-5p	
hsa-miR-6860				11338.0							hsa-miR-6860	
hsa-miR-6861-3p				5071.0							hsa-miR-6861-3p	
hsa-miR-6861-5p				7734.0							hsa-miR-6861-5p	
hsa-miR-6862-3p				11328.0							hsa-miR-6862-3p	
hsa-miR-6862-5p				3886.0							hsa-miR-6862-5p	
hsa-miR-6863				1578.0							hsa-miR-6863	
hsa-miR-6864-3p				1208.0							hsa-miR-6864-3p	
hsa-miR-6864-5p				4624.0							hsa-miR-6864-5p	
hsa-miR-6865-3p				2163.0							hsa-miR-6865-3p	
hsa-miR-6865-5p				14760.0							hsa-miR-6865-5p	
hsa-miR-6866-3p				1819.0							hsa-miR-6866-3p	
hsa-miR-6866-5p				3744.0							hsa-miR-6866-5p	
hsa-miR-6867-3p				1361.0							hsa-miR-6867-3p	
hsa-miR-6867-5p				4454.0							hsa-miR-6867-5p	
hsa-miR-6868-3p				1678.0							hsa-miR-6868-3p	
hsa-miR-6868-5p				2012.0							hsa-miR-6868-5p	
hsa-miR-6869-3p				5328.0							hsa-miR-6869-3p	
hsa-miR-6869-5p				16203.0							hsa-miR-6869-5p	
hsa-miR-6870-3p				7674.0							hsa-miR-6870-3p	
hsa-miR-6870-5p				5162.0							hsa-miR-6870-5p	
hsa-miR-6871-3p				8282.0							hsa-miR-6871-3p	
hsa-miR-6871-5p				3543.0							hsa-miR-6871-5p	
hsa-miR-6872-3p				11748.0							hsa-miR-6872-3p	
hsa-miR-6872-5p				1053.0							hsa-miR-6872-5p	
hsa-miR-6873-3p				10191.0							hsa-miR-6873-3p	
hsa-miR-6873-5p				935.0							hsa-miR-6873-5p	
hsa-miR-6874-3p				86585.0							hsa-miR-6874-3p	
hsa-miR-6874-5p				3347.0							hsa-miR-6874-5p	
hsa-miR-6875-3p				3805.0							hsa-miR-6875-3p	
hsa-miR-6875-5p				7243.0							hsa-miR-6875-5p	
hsa-miR-6876-3p				1432.0							hsa-miR-6876-3p	
hsa-miR-6876-5p				1750.0							hsa-miR-6876-5p	
hsa-miR-6877-3p				4785.0							hsa-miR-6877-3p	
hsa-miR-6877-5p				6257.0							hsa-miR-6877-5p	
hsa-miR-6878-3p				1303.0							hsa-miR-6878-3p	
hsa-miR-6878-5p				1116.0							hsa-miR-6878-5p	
hsa-miR-6879-3p				3992.0							hsa-miR-6879-3p	
hsa-miR-6879-5p				6324.0							hsa-miR-6879-5p	
hsa-miR-6880-3p				4066.0							hsa-miR-6880-3p	
hsa-miR-6880-5p				12159.0							hsa-miR-6880-5p	
hsa-miR-6881-3p				3048.0							hsa-miR-6881-3p	
hsa-miR-6881-5p				1512.0							hsa-miR-6881-5p	
hsa-miR-6882-3p				2988.0							hsa-miR-6882-3p	
hsa-miR-6882-5p				3821.0							hsa-miR-6882-5p	
hsa-miR-6883-3p				3512.0							hsa-miR-6883-3p	
hsa-miR-6883-5p				2645.0							hsa-miR-6883-5p	
hsa-miR-6884-3p				2441.0							hsa-miR-6884-3p	
hsa-miR-6884-5p				10513.0							hsa-miR-6884-5p	
hsa-miR-6885-3p				1935.0							hsa-miR-6885-3p	
hsa-miR-6885-5p				3025.0							hsa-miR-6885-5p	
hsa-miR-6886-3p				4017.0							hsa-miR-6886-3p	
hsa-miR-6886-5p				12144.0							hsa-miR-6886-5p	
hsa-miR-6887-3p				4152.0							hsa-miR-6887-3p	
hsa-miR-6887-5p				14280.0							hsa-miR-6887-5p	
hsa-miR-6888-3p				550.0							hsa-miR-6888-3p	
hsa-miR-6888-5p				6600.0							hsa-miR-6888-5p	
hsa-miR-6889-3p				1859.0							hsa-miR-6889-3p	
hsa-miR-6889-5p				11688.0							hsa-miR-6889-5p	
hsa-miR-6890-3p				1192.0							hsa-miR-6890-3p	
hsa-miR-6890-5p				3349.0							hsa-miR-6890-5p	
hsa-miR-6891-3p				2787.0							hsa-miR-6891-3p	
hsa-miR-6891-5p				8071.0							hsa-miR-6891-5p	
hsa-miR-6892-3p				4876.0							hsa-miR-6892-3p	
hsa-miR-6892-5p				4130.0							hsa-miR-6892-5p	
hsa-miR-6893-3p				2466.0							hsa-miR-6893-3p	
hsa-miR-6893-5p				3704.0							hsa-miR-6893-5p	
hsa-miR-6894-3p				4212.0							hsa-miR-6894-3p	
hsa-miR-6894-5p				8948.0							hsa-miR-6894-5p	
hsa-miR-6895-3p				4737.0							hsa-miR-6895-3p	
hsa-miR-6895-5p				4511.0							hsa-miR-6895-5p	
hsa-miR-7-1-3p				12488.0							hsa-miR-7-1-3p	
hsa-miR-7-2-3p				2066.0							hsa-miR-7-2-3p	
hsa-miR-7-5p				261433.0							hsa-miR-7-5p	
hsa-miR-708-3p				5307.0							hsa-miR-708-3p	
hsa-miR-708-5p				1267.0							hsa-miR-708-5p	
hsa-miR-7106-3p				4372.0							hsa-miR-7106-3p	
hsa-miR-7106-5p				4655.0							hsa-miR-7106-5p	
hsa-miR-7107-3p				1319.0							hsa-miR-7107-3p	
hsa-miR-7107-5p				34556.0							hsa-miR-7107-5p	
hsa-miR-7108-3p				8309.0							hsa-miR-7108-3p	
hsa-miR-7108-5p				8065.0							hsa-miR-7108-5p	
hsa-miR-7109-3p				7338.0							hsa-miR-7109-3p	
hsa-miR-7109-5p				3180.0							hsa-miR-7109-5p	
hsa-miR-711				3678.0							hsa-miR-711	
hsa-miR-7110-3p				4227.0							hsa-miR-7110-3p	
hsa-miR-7110-5p				18099.0							hsa-miR-7110-5p	
hsa-miR-7111-3p				7885.0							hsa-miR-7111-3p	
hsa-miR-7111-5p				5912.0							hsa-miR-7111-5p	
hsa-miR-7112-3p				6751.0							hsa-miR-7112-3p	
hsa-miR-7112-5p				3827.0							hsa-miR-7112-5p	
hsa-miR-7113-3p				13022.0							hsa-miR-7113-3p	
hsa-miR-7113-5p				1666.0							hsa-miR-7113-5p	
hsa-miR-7114-3p				8857.0							hsa-miR-7114-3p	
hsa-miR-7114-5p				9890.0							hsa-miR-7114-5p	
hsa-miR-7150				3528.0							hsa-miR-7150	
hsa-miR-7151-3p				5918.0							hsa-miR-7151-3p	
hsa-miR-7151-5p				1693.0							hsa-miR-7151-5p	
hsa-miR-7152-3p				3758.0							hsa-miR-7152-3p	
hsa-miR-7152-5p				3915.0							hsa-miR-7152-5p	
hsa-miR-7153-3p				929.0							hsa-miR-7153-3p	
hsa-miR-7153-5p				1691.0							hsa-miR-7153-5p	
hsa-miR-7154-3p				1555.0							hsa-miR-7154-3p	
hsa-miR-7154-5p				2552.0							hsa-miR-7154-5p	
hsa-miR-7155-3p				25401.0							hsa-miR-7155-3p	
hsa-miR-7155-5p				2245.0							hsa-miR-7155-5p	
hsa-miR-7156-3p				3585.0							hsa-miR-7156-3p	
hsa-miR-7156-5p				1681.0							hsa-miR-7156-5p	
hsa-miR-7157-3p				3402.0							hsa-miR-7157-3p	
hsa-miR-7157-5p				3216.0							hsa-miR-7157-5p	
hsa-miR-7158-3p				28461.0							hsa-miR-7158-3p	
hsa-miR-7158-5p				3244.0							hsa-miR-7158-5p	
hsa-miR-7159-3p				643.0							hsa-miR-7159-3p	
hsa-miR-7159-5p				1065.0							hsa-miR-7159-5p	
hsa-miR-7160-3p				10211.0							hsa-miR-7160-3p	
hsa-miR-7160-5p				11938.0							hsa-miR-7160-5p	
hsa-miR-7161-3p				4215.0							hsa-miR-7161-3p	
hsa-miR-7161-5p				3018.0							hsa-miR-7161-5p	
hsa-miR-7162-3p				5952.0							hsa-miR-7162-3p	
hsa-miR-7162-5p				1747.0							hsa-miR-7162-5p	
hsa-miR-718				19981.0							hsa-miR-718	
hsa-miR-744-3p				1576.0							hsa-miR-744-3p	
hsa-miR-744-5p				219160.0							hsa-miR-744-5p	
hsa-miR-7515				2150.0							hsa-miR-7515	
hsa-miR-758-3p				6213.0							hsa-miR-758-3p	
hsa-miR-758-5p				1872.0							hsa-miR-758-5p	
hsa-miR-759				387.0							hsa-miR-759	
hsa-miR-760				11005.0							hsa-miR-760	
hsa-miR-761				7176.0							hsa-miR-761	
hsa-miR-762				32526.0							hsa-miR-762	
hsa-miR-764				2517.0							hsa-miR-764	
hsa-miR-765				5337.0							hsa-miR-765	
hsa-miR-766-3p				17396.0							hsa-miR-766-3p	
hsa-miR-766-5p				4904.0							hsa-miR-766-5p	
hsa-miR-767-3p				993.0							hsa-miR-767-3p	
hsa-miR-767-5p				35411.0							hsa-miR-767-5p	
hsa-miR-769-3p				5693.0							hsa-miR-769-3p	
hsa-miR-769-5p				76970.0							hsa-miR-769-5p	
hsa-miR-770-5p				3770.0							hsa-miR-770-5p	
hsa-miR-7702				6441.0							hsa-miR-7702	
hsa-miR-7703				2876.0							hsa-miR-7703	
hsa-miR-7704				47022.0							hsa-miR-7704	
hsa-miR-7705				32947.0							hsa-miR-7705	
hsa-miR-7706				9730.0							hsa-miR-7706	
hsa-miR-7843-3p				1914.0							hsa-miR-7843-3p	
hsa-miR-7843-5p				4146.0							hsa-miR-7843-5p	
hsa-miR-7844-5p				1980.0							hsa-miR-7844-5p	
hsa-miR-7845-5p				9167.0							hsa-miR-7845-5p	
hsa-miR-7846-3p				8444.0							hsa-miR-7846-3p	
hsa-miR-7847-3p				12927.0							hsa-miR-7847-3p	
hsa-miR-7848-3p				4394.0							hsa-miR-7848-3p	
hsa-miR-7849-3p				10477.0							hsa-miR-7849-3p	
hsa-miR-7850-5p				2163.0							hsa-miR-7850-5p	
hsa-miR-7851-3p				11019.0							hsa-miR-7851-3p	
hsa-miR-7852-3p				3098.0							hsa-miR-7852-3p	
hsa-miR-7853-5p				4071.0							hsa-miR-7853-5p	
hsa-miR-7854-3p				3903.0							hsa-miR-7854-3p	
hsa-miR-7855-5p				6088.0							hsa-miR-7855-5p	
hsa-miR-7856-5p				2815.0							hsa-miR-7856-5p	
hsa-miR-7973				958.0							hsa-miR-7973	
hsa-miR-7974				12622.0							hsa-miR-7974	
hsa-miR-7975				10206.0							hsa-miR-7975	
hsa-miR-7976				3936.0							hsa-miR-7976	
hsa-miR-7977				32974.0							hsa-miR-7977	
hsa-miR-7978				3638.0							hsa-miR-7978	
hsa-miR-802				437.0							hsa-miR-802	
hsa-miR-8052				7106.0							hsa-miR-8052	
hsa-miR-8053				704.0							hsa-miR-8053	
hsa-miR-8054				15354.0							hsa-miR-8054	
hsa-miR-8055				3629.0							hsa-miR-8055	
hsa-miR-8056				1867.0							hsa-miR-8056	
hsa-miR-8057				31217.0							hsa-miR-8057	
hsa-miR-8058				1086.0							hsa-miR-8058	
hsa-miR-8059				1125.0							hsa-miR-8059	
hsa-miR-8060				3789.0							hsa-miR-8060	
hsa-miR-8061				376.0							hsa-miR-8061	
hsa-miR-8062				937.0							hsa-miR-8062	
