sample	raw_reads	passed_fastp	failed_fastp	mature_miRNA_mapped	hairpin_miRNA_mapped	RNAcentral_matched	candidate_shortRNA	mature_hairpin_unmapped	not_tRNA	tRNA_matched	cell_type	replicate
hsa-miR-1304-5p				4761.0							hsa-miR-1304-5p	
hsa-miR-1305				2886.0							hsa-miR-1305	
hsa-miR-1306-3p				4687.0							hsa-miR-1306-3p	
hsa-miR-1306-5p				2298.0							hsa-miR-1306-5p	
hsa-miR-1307-3p				40140.0							hsa-miR-1307-3p	
hsa-miR-1307-5p				22597.0							hsa-miR-1307-5p	
hsa-miR-130a-3p				814.0							hsa-miR-130a-3p	
hsa-miR-130a-5p				553.0							hsa-miR-130a-5p	
hsa-miR-130b-3p				12481.0							hsa-miR-130b-3p	
hsa-miR-130b-5p				91548.0							hsa-miR-130b-5p	
hsa-miR-132-3p				5486.0							hsa-miR-132-3p	
hsa-miR-132-5p				2523.0							hsa-miR-132-5p	
hsa-miR-1321				1220.0							hsa-miR-1321	
hsa-miR-1322				2681.0							hsa-miR-1322	
hsa-miR-1323				16053.0							hsa-miR-1323	
hsa-miR-1324				1675.0							hsa-miR-1324	
hsa-miR-133a-3p				4346.0							hsa-miR-133a-3p	
hsa-miR-133a-5p				667.0							hsa-miR-133a-5p	
hsa-miR-133b				4355.0							hsa-miR-133b	
hsa-miR-134-3p				8221.0							hsa-miR-134-3p	
hsa-miR-134-5p				17481.0							hsa-miR-134-5p	
hsa-miR-1343-3p				17613.0							hsa-miR-1343-3p	
hsa-miR-1343-5p				13555.0							hsa-miR-1343-5p	
hsa-miR-135a-2-3p				2424.0							hsa-miR-135a-2-3p	
hsa-miR-135a-3p				3309.0							hsa-miR-135a-3p	
hsa-miR-135a-5p				493.0							hsa-miR-135a-5p	
hsa-miR-135b-3p				812.0							hsa-miR-135b-3p	
hsa-miR-135b-5p				494.0							hsa-miR-135b-5p	
hsa-miR-136-3p				928.0							hsa-miR-136-3p	
hsa-miR-136-5p				6075.0							hsa-miR-136-5p	
hsa-miR-137-3p				55960.0							hsa-miR-137-3p	
hsa-miR-137-5p				1292.0							hsa-miR-137-5p	
hsa-miR-138-1-3p				58003.0							hsa-miR-138-1-3p	
hsa-miR-138-2-3p				2134.0							hsa-miR-138-2-3p	
hsa-miR-138-5p				5352.0							hsa-miR-138-5p	
hsa-miR-139-3p				17028.0							hsa-miR-139-3p	
hsa-miR-139-5p				1555.0							hsa-miR-139-5p	
hsa-miR-140-3p				1465929.0							hsa-miR-140-3p	
hsa-miR-140-5p				8148.0							hsa-miR-140-5p	
hsa-miR-141-3p				11652.0							hsa-miR-141-3p	
hsa-miR-141-5p				1367.0							hsa-miR-141-5p	
hsa-miR-142-3p				858593.0							hsa-miR-142-3p	
hsa-miR-142-5p				3674072.0							hsa-miR-142-5p	
hsa-miR-143-3p				44537.0							hsa-miR-143-3p	
hsa-miR-143-5p				1335.0							hsa-miR-143-5p	
hsa-miR-144-3p				6895.0							hsa-miR-144-3p	
hsa-miR-144-5p				3446.0							hsa-miR-144-5p	
hsa-miR-145-3p				1248.0							hsa-miR-145-3p	
hsa-miR-145-5p				2328.0							hsa-miR-145-5p	
hsa-miR-1468-3p				1607.0							hsa-miR-1468-3p	
hsa-miR-1468-5p				2560.0							hsa-miR-1468-5p	
hsa-miR-1469				35519.0							hsa-miR-1469	
hsa-miR-146a-3p				1419.0							hsa-miR-146a-3p	
hsa-miR-146a-5p				1201606.0							hsa-miR-146a-5p	
hsa-miR-146b-3p				43685.0							hsa-miR-146b-3p	
hsa-miR-146b-5p				6944777.0							hsa-miR-146b-5p	
hsa-miR-1470				11649.0							hsa-miR-1470	
hsa-miR-1471				5921.0							hsa-miR-1471	
hsa-miR-147a				1463.0							hsa-miR-147a	
hsa-miR-147b-3p				3105.0							hsa-miR-147b-3p	
hsa-miR-147b-5p				5294.0							hsa-miR-147b-5p	
hsa-miR-148a-3p				541178.0							hsa-miR-148a-3p	
hsa-miR-148a-5p				30634.0							hsa-miR-148a-5p	
hsa-miR-148b-3p				630357.0							hsa-miR-148b-3p	
hsa-miR-148b-5p				8693.0							hsa-miR-148b-5p	
hsa-miR-149-3p				13303.0							hsa-miR-149-3p	
hsa-miR-149-5p				3278.0							hsa-miR-149-5p	
hsa-miR-150-3p				33797.0							hsa-miR-150-3p	
hsa-miR-150-5p				3151252.0							hsa-miR-150-5p	
hsa-miR-151a-3p				76967.0							hsa-miR-151a-3p	
hsa-miR-151a-5p				4038.0							hsa-miR-151a-5p	
hsa-miR-151b				3502.0							hsa-miR-151b	
hsa-miR-152-3p				152937.0							hsa-miR-152-3p	
hsa-miR-152-5p				3553.0							hsa-miR-152-5p	
hsa-miR-153-3p				1290.0							hsa-miR-153-3p	
hsa-miR-153-5p				128593.0							hsa-miR-153-5p	
hsa-miR-1537-3p				460.0							hsa-miR-1537-3p	
hsa-miR-1537-5p				1781.0							hsa-miR-1537-5p	
hsa-miR-1538				18079.0							hsa-miR-1538	
hsa-miR-1539				3754.0							hsa-miR-1539	
hsa-miR-154-3p				363.0							hsa-miR-154-3p	
hsa-miR-154-5p				521.0							hsa-miR-154-5p	
hsa-miR-155-3p				373.0							hsa-miR-155-3p	
hsa-miR-155-5p				772107.0							hsa-miR-155-5p	
hsa-miR-1587				41810.0							hsa-miR-1587	
hsa-miR-15a-3p				2341.0							hsa-miR-15a-3p	
hsa-miR-15a-5p				63529.0							hsa-miR-15a-5p	
hsa-miR-15b-3p				12098.0							hsa-miR-15b-3p	
hsa-miR-15b-5p				77345.0							hsa-miR-15b-5p	
hsa-miR-16-1-3p				11997.0							hsa-miR-16-1-3p	
hsa-miR-16-2-3p				30258.0							hsa-miR-16-2-3p	
hsa-miR-16-5p				423314.0							hsa-miR-16-5p	
hsa-miR-17-3p				8287.0							hsa-miR-17-3p	
hsa-miR-17-5p				167978.0							hsa-miR-17-5p	
hsa-miR-181a-2-3p				166580.0							hsa-miR-181a-2-3p	
hsa-miR-181a-3p				190567.0							hsa-miR-181a-3p	
hsa-miR-181a-5p				4768623.0							hsa-miR-181a-5p	
hsa-miR-181b-2-3p				3115.0							hsa-miR-181b-2-3p	
hsa-miR-181b-3p				4393.0							hsa-miR-181b-3p	
hsa-miR-181b-5p				656384.0							hsa-miR-181b-5p	
hsa-miR-181c-3p				6070.0							hsa-miR-181c-3p	
hsa-miR-181c-5p				9358.0							hsa-miR-181c-5p	
hsa-miR-181d-3p				3785.0							hsa-miR-181d-3p	
hsa-miR-181d-5p				22428.0							hsa-miR-181d-5p	
hsa-miR-182-3p				2342.0							hsa-miR-182-3p	
hsa-miR-182-5p				5503.0							hsa-miR-182-5p	
hsa-miR-1825				2948.0							hsa-miR-1825	
hsa-miR-1827				1134.0							hsa-miR-1827	
hsa-miR-183-3p				5033.0							hsa-miR-183-3p	
hsa-miR-183-5p				3217.0							hsa-miR-183-5p	
hsa-miR-184				2374.0							hsa-miR-184	
hsa-miR-1843				15851.0							hsa-miR-1843	
hsa-miR-185-3p				7437.0							hsa-miR-185-3p	
hsa-miR-185-5p				162275.0							hsa-miR-185-5p	
hsa-miR-186-3p				629.0							hsa-miR-186-3p	
hsa-miR-186-5p				377160.0							hsa-miR-186-5p	
hsa-miR-187-3p				1671.0							hsa-miR-187-3p	
hsa-miR-187-5p				16469.0							hsa-miR-187-5p	
hsa-miR-188-3p				1258.0							hsa-miR-188-3p	
hsa-miR-188-5p				1809.0							hsa-miR-188-5p	
hsa-miR-18a-3p				3923.0							hsa-miR-18a-3p	
hsa-miR-18a-5p				3115.0							hsa-miR-18a-5p	
hsa-miR-18b-3p				940.0							hsa-miR-18b-3p	
hsa-miR-18b-5p				3514.0							hsa-miR-18b-5p	
hsa-miR-1908-3p				37837.0							hsa-miR-1908-3p	
hsa-miR-1908-5p				9675.0							hsa-miR-1908-5p	
hsa-miR-1909-3p				19950.0							hsa-miR-1909-3p	
hsa-miR-1909-5p				4723.0							hsa-miR-1909-5p	
hsa-miR-190a-3p				186.0							hsa-miR-190a-3p	
hsa-miR-190a-5p				322.0							hsa-miR-190a-5p	
hsa-miR-190b-3p				238.0							hsa-miR-190b-3p	
hsa-miR-190b-5p				3325.0							hsa-miR-190b-5p	
hsa-miR-191-3p				4516.0							hsa-miR-191-3p	
hsa-miR-191-5p				4080536.0							hsa-miR-191-5p	
hsa-miR-1910-3p				2151.0							hsa-miR-1910-3p	
hsa-miR-1910-5p				4058.0							hsa-miR-1910-5p	
hsa-miR-1911-3p				10114.0							hsa-miR-1911-3p	
hsa-miR-1911-5p				46378.0							hsa-miR-1911-5p	
hsa-miR-1912-3p				2087.0							hsa-miR-1912-3p	
hsa-miR-1912-5p				5982.0							hsa-miR-1912-5p	
hsa-miR-1913				21906.0							hsa-miR-1913	
hsa-miR-1914-3p				6238.0							hsa-miR-1914-3p	
hsa-miR-1914-5p				8037.0							hsa-miR-1914-5p	
hsa-miR-1915-3p				16531.0							hsa-miR-1915-3p	
hsa-miR-1915-5p				121436.0							hsa-miR-1915-5p	
hsa-miR-192-3p				2033.0							hsa-miR-192-3p	
hsa-miR-192-5p				313739.0							hsa-miR-192-5p	
hsa-miR-193a-3p				1338.0							hsa-miR-193a-3p	
hsa-miR-193a-5p				8294.0							hsa-miR-193a-5p	
hsa-miR-193b-3p				4707.0							hsa-miR-193b-3p	
hsa-miR-193b-5p				2469.0							hsa-miR-193b-5p	
hsa-miR-194-3p				7761.0							hsa-miR-194-3p	
hsa-miR-194-5p				36486.0							hsa-miR-194-5p	
hsa-miR-195-3p				2524.0							hsa-miR-195-3p	
hsa-miR-195-5p				62683.0							hsa-miR-195-5p	
hsa-miR-196a-1-3p				782.0							hsa-miR-196a-1-3p	
hsa-miR-196a-3p				1038.0							hsa-miR-196a-3p	
hsa-miR-196a-5p				637.0							hsa-miR-196a-5p	
hsa-miR-196b-3p				1446.0							hsa-miR-196b-3p	
hsa-miR-196b-5p				2791.0							hsa-miR-196b-5p	
hsa-miR-197-3p				10958.0							hsa-miR-197-3p	
hsa-miR-197-5p				8140.0							hsa-miR-197-5p	
hsa-miR-1972				4447.0							hsa-miR-1972	
hsa-miR-1973				359.0							hsa-miR-1973	
hsa-miR-1976				3607.0							hsa-miR-1976	
