sample	length	read_count
CD14_S4	66	426895
CD14_S4	67	275457
CD14_S4	68	666763
CD14_S4	69	1329154
CD14_S4	70	507674
CD14_S4	71	93622
CD14_S4	72	2659848
CD14_S4	73	89445
CD14_S4	74	80539
CD14_S4	75	60244
CD14_S4	76	206294
CD14_S4	77	84254
CD14_S4	78	39252
CD14_S4	79	54113
CD14_S4	80	14663
CD14_S4	81	4024
CD14_S4	82	4474
CD14_S4	83	5758
CD14_S4	84	7193
CD14_S4	85	8262
CD14_S4	86	3370
CD14_S4	87	3395
CD14_S4	88	3673
CD14_S4	89	30704
CD14_S4	90	7334
CD14_S4	91	8579
CD14_S4	92	5174
CD14_S4	93	3042
CD14_S4	94	4457
CD14_S4	95	4640
CD14_S4	96	1894
CD14_S4	97	1960
CD14_S4	98	2765
CD14_S4	99	1822
CD14_S4	100	669231
CD19_S1	12	99
CD19_S1	13	7475
CD19_S1	14	45028
CD19_S1	15	95303
CD19_S1	16	156442
CD19_S1	17	192922
CD19_S1	18	196225
CD19_S1	19	164809
CD19_S1	20	92487
CD19_S1	21	91411
CD19_S1	22	88714
CD19_S1	23	133325
CD19_S1	24	151707
CD19_S1	25	183019
CD19_S1	26	100794
CD19_S1	27	165365
CD19_S1	28	311330
CD19_S1	29	1313634
CD19_S1	30	477293
CD19_S1	31	154999
CD19_S1	32	125800
CD19_S1	33	106949
CD19_S1	34	119996
CD19_S1	35	65679
CD19_S1	36	86250
CD19_S1	37	177498
CD19_S1	38	161948
CD19_S1	39	165945
CD19_S1	40	203998
CD19_S1	41	109171
CD19_S1	42	76461
CD19_S1	43	91387
CD19_S1	44	104008
CD19_S1	45	139963
CD19_S1	46	111987
CD19_S1	47	71548
CD19_S1	48	39978
CD19_S1	49	27273
CD19_S1	50	37112
CD19_S1	51	126193
CD19_S1	52	30123
CD19_S1	53	35955
CD19_S1	54	42949
CD19_S1	55	35000
CD19_S1	56	26759
CD19_S1	57	69392
CD19_S1	58	72498
CD19_S1	59	119253
CD19_S1	60	269537
CD19_S1	61	194741
CD19_S1	62	1134977
CD19_S1	63	2707650
CD19_S1	64	389878
CD19_S1	65	618791
CD19_S1	66	443343
CD19_S1	67	386594
CD19_S1	68	1311074
CD19_S1	69	981691
CD19_S1	70	515170
CD19_S1	71	196885
CD19_S1	72	1809724
CD19_S1	73	94262
CD19_S1	74	52290
CD19_S1	75	56570
CD19_S1	76	101807
CD19_S1	77	126707
CD19_S1	78	53724
CD19_S1	79	67590
CD19_S1	80	19121
CD19_S1	81	10471
CD19_S1	82	11414
CD19_S1	83	11527
CD19_S1	84	16368
CD19_S1	85	11913
CD19_S1	86	9168
CD19_S1	87	38817
CD19_S1	88	8009
CD19_S1	89	15778
CD19_S1	90	12057
CD19_S1	91	13748
CD19_S1	92	7942
CD19_S1	93	5042
CD19_S1	94	6198
CD19_S1	95	5601
CD19_S1	96	3594
CD19_S1	97	2680
CD19_S1	98	2350
CD19_S1	99	2399
CD19_S1	100	760862
CD19_S2	12	125
CD19_S2	13	6047
CD19_S2	14	33025
CD19_S2	15	68546
CD19_S2	16	111272
CD19_S2	17	136032
CD19_S2	18	143024
CD19_S2	19	115993
CD19_S2	20	71050
CD19_S2	21	73897
CD19_S2	22	73485
CD19_S2	23	106303
CD19_S2	24	123260
CD19_S2	25	128316
CD19_S2	26	91334
CD19_S2	27	123512
CD19_S2	28	250208
CD19_S2	29	899584
CD19_S2	30	358560
CD19_S2	31	134763
CD19_S2	32	109353
CD19_S2	33	118337
CD19_S2	34	117051
CD19_S2	35	64023
CD19_S2	36	71287
CD19_S2	37	126578
CD19_S2	38	117963
CD19_S2	39	119811
CD19_S2	40	141525
CD19_S2	41	80433
CD19_S2	42	60914
CD19_S2	43	80636
CD19_S2	44	115043
CD19_S2	45	118714
CD19_S2	46	107228
CD19_S2	47	64615
CD19_S2	48	35303
CD19_S2	49	29736
CD19_S2	50	35036
CD19_S2	51	99826
CD19_S2	52	28579
CD19_S2	53	34958
CD19_S2	54	39793
CD19_S2	55	34686
CD19_S2	56	29011
CD19_S2	57	63397
CD19_S2	58	82217
CD19_S2	59	149589
CD19_S2	60	289645
CD19_S2	61	209128
CD19_S2	62	1217218
CD19_S2	63	3100938
CD19_S2	64	533056
CD19_S2	65	728553
CD19_S2	66	646930
CD19_S2	67	487106
CD19_S2	68	1399783
CD19_S2	69	1456221
CD19_S2	70	796554
CD19_S2	71	207270
CD19_S2	72	1447030
CD19_S2	73	123674
CD19_S2	74	89970
CD19_S2	75	115860
CD19_S2	76	213445
CD19_S2	77	258943
CD19_S2	78	118540
CD19_S2	79	128604
CD19_S2	80	40619
CD19_S2	81	21155
CD19_S2	82	21112
CD19_S2	83	19542
CD19_S2	84	32459
CD19_S2	85	13476
CD19_S2	86	11650
CD19_S2	87	37569
CD19_S2	88	13129
CD19_S2	89	26333
CD19_S2	90	17992
CD19_S2	91	19013
CD19_S2	92	13508
CD19_S2	93	7168
CD19_S2	94	9514
CD19_S2	95	9306
CD19_S2	96	5329
CD19_S2	97	4050
CD19_S2	98	3819
CD19_S2	99	3692
CD19_S2	100	654452
CD19_S3	11	2
CD19_S3	12	78
CD19_S3	13	7273
CD19_S3	14	35740
CD19_S3	15	80623
CD19_S3	16	131240
CD19_S3	17	175561
CD19_S3	18	188548
CD19_S3	19	152619
CD19_S3	20	84594
CD19_S3	21	80274
CD19_S3	22	75736
CD19_S3	23	120442
CD19_S3	24	133576
CD19_S3	25	147641
CD19_S3	26	81896
CD19_S3	27	135613
CD19_S3	28	297481
CD19_S3	29	1400230
CD19_S3	30	504526
CD19_S3	31	160564
CD19_S3	32	132076
CD19_S3	33	81374
CD19_S3	34	83456
CD19_S3	35	51513
CD19_S3	36	72881
CD19_S3	37	143092
CD19_S3	38	162615
CD19_S3	39	169386
CD19_S3	40	209617
CD19_S3	41	103333
CD19_S3	42	71190
CD19_S3	43	90873
CD19_S3	44	101296
CD19_S3	45	150730
CD19_S3	46	94174
CD19_S3	47	70021
CD19_S3	48	37294
CD19_S3	49	25683
CD19_S3	50	35997
CD19_S3	51	134137
CD19_S3	52	26443
CD19_S3	53	32919
CD19_S3	54	43273
CD19_S3	55	31067
