CD4_S2	CD14_S1	CD19_S2	CD4_S3	CD4_S4	CD14_S3	CD56_S4	CD56_S1	CD14_S2	CD56_S2	CD19_S1	CD56_S3	CD14_S4	CD19_S3	CD4_S1	CD19_S4
hsa-mir-151a	1414.21190714884	741.091198112458	1958.73725938468	1408.190238715	1257.37021842274	1114.14838986753	1398.47072037796	552.468155109927	762.012979825114	874.368172514021	1885.85612158418	880.89132673601	2254.92645257311	2472.50041734503	816.981929190008	1587.55721831463
hsa-mir-4705	1917.15006661952	658.747731655518	2110.80800019767	2024.63354017469	870.77301896682	785.632863189582	1459.66506335461	740.847127241129	706.99584835326	1284.25668626799	1996.51250070841	1263.48741043777	648.873174989361	2282.40755053033	1086.41213988033	762.165413282114
hsa-mir-223	266.431731312682	1352.57451852812	1062.84224285599	274.889269275751	1561.25792087968	1910.19759902495	516.552248067536	904.439392512961	2201.71361647175	986.280019776481	845.059800953444	502.239532556949	2832.3682766226	562.519707921072	635.913239209953	772.511550113998
hsa-mir-4273	897.759094640559	995.506661739505	939.698001654171	847.712417227614	1440.4462960497	1463.49660848115	1107.79759123891	900.032866849074	617.528737361648	1071.80614695267	1536.14020642742	1252.96930504391	1789.47055290035	2127.22970006934	695.303769523411	808.148243646043
hsa-mir-150	4020.60927868595	83.451226095374	2428.17302450304	3156.28846608534	1612.37053138467	150.235759151501	1537.05790888389	1278.99407394342	132.658130091012	1776.48684373946	1155.62841217475	750.729772486958	155.76642979148	1046.15734185781	2053.31894437382	1215.09629236681
hsa-mir-5684	658.356669403077	668.717568401426	495.882850477135	811.499459598473	1954.3603616726	2157.38550141555	1033.10449613507	845.502111758463	1061.26504072809	692.85261536881	569.462781247812	1588.23391447328	2256.30899484937	668.557905736078	652.571558688118	916.207895001274
hsa-mir-873	40.5439591127995	45.4181451758009	181.823711841616	61.7266323223991	73.4162950889848	145.828843549723	2736.64701458777	3826.51672337853	101.293223364067	4158.02554462963	52.1964052472788	4190.80761786721	92.6303325091347	240.525668214527	143.406402464204	275.896982183571
hsa-mir-146b	2254.05106019968	93.7903160540929	319.844438557752	1554.68811276016	1511.07463056569	347.34507515827	2819.43936096793	2128.90271136577	177.90586438562	1935.71101667386	107.524594809394	2005.0138407051	352.087433019795	568.338877313359	1963.50887414372	635.712629781311
hsa-mir-30e	1100.47889020456	870.699075809256	1166.97764145619	808.207372541279	836.388171899827	1129.37228012822	1055.60241634707	791.522172375838	1191.35227682509	1033.59234544842	822.093382644641	974.896893693659	1372.86448032195	974.387586019604	985.737948251419	674.79803559065
hsa-mir-26a-1	2397.88558181414	634.746272822778	1362.0248959772	1799.94859852116	879.136900685818	850.53471114303	1032.20457932659	777.751779676188	1127.5941057736	940.332472729699	688.470585211607	859.855115948284	755.789777686472	915.549317719813	1066.13244660256	615.020356117543
hsa-mir-148b	624.570036809077	857.405960148046	517.371107331144	482.290753879011	1011.10036780779	1725.50777244137	987.208738902591	763.981386976539	1239.68508391252	883.011770473317	506.305130898604	938.083524815139	1689.46666158452	628.470294366991	656.917207247639	617.319497635739
hsa-mir-199b	439.226223721994	1737.33636627759	276.867924849734	249.375594582492	1157.93295798576	1737.92726186456	557.048504449137	279.263563948886	2190.4016828981	330.731353495158	170.160281106129	447.019479239169	2241.56187723598	342.037845391088	238.286396013752	518.456412353293
hsa-mir-199a-2	417.988911805766	1632.09920062634	242.156125316334	239.499333410908	1117.04286958177	1657.40089495936	505.753246365776	257.230935629448	2101.44875070529	301.616076158583	148.759754954745	434.529229083957	2171.97391599777	319.407742198861	236.113571733992	518.456412353293
hsa-mir-6756	1564.80375528209	882.51517861922	420.673951488103	285.588552211633	706.283345159854	1134.58045311213	458.957572324814	1778.58392108669	822.686078083794	1075.44555661974	365.374836730952	598.874625863064	960.406034572322	246.991411983735	1620.20263794153	464.426586675677
hsa-mir-378d-2	804.121855737189	1001.7839663573	616.547677426571	671.585759667702	916.30970832581	1072.88363468725	910.715810181788	404.298729661701	970.255393340075	571.387317730286	690.036477369026	863.142023883867	1352.58719360353	1076.54633757309	710.513539481736	886.319055264721
hsa-mir-10399	737.513922909019	741.091198112458	294.223824616433	705.329652003947	944.189314055805	1298.03695906897	1282.38145208404	684.113109318574	964.085247754446	690.123058118506	418.615170083176	894.696340065455	1468.2598973836	640.108633151564	778.595366914236	615.020356117543
hsa-mir-199a-1	380.340949772452	1569.3261544484	217.361982792478	190.941049317288	1051.06113602078	1591.2971609327	463.457156367214	219.775467486402	2044.88908283703	269.771241571704	103.348882389612	364.1893992625	2092.24731140036	268.974940799041	176.723041420534	449.482166807401
hsa-mir-526a-2	1675.81697666238	876.607127214238	355.382709508614	185.179896967197	634.725690452869	1125.36599321751	344.668137647851	1764.81352838705	814.973396101758	1104.56083395632	281.860588335306	542.339809371051	919.851461135487	174.575081768608	1653.51927689786	295.43968508824
hsa-mir-4453	1438.34521614455	878.822646491106	296.703238868819	167.896439916925	645.877532744866	1107.33770211933	344.668137647851	1675.58138369332	812.402502107747	1034.0472716568	297.519509909489	552.200533177797	923.077393113417	161.643594230193	1531.11684247134	296.589255847339
hsa-mir-4760	1710.56894161621	285.432733503204	1847.99008944479	1237.00171174088	1176.51936180576	420.660125624202	1295.88020421124	483.616191611681	625.241419343683	647.814920738796	356.501447838914	625.169889347721	612.927075806712	1266.63920438779	399.075392716041	2048.53509271301
hsa-mir-4443	863.007129686731	331.589385104628	1137.22467042756	906.969984257117	657.958695227864	592.93046278459	746.930951038423	679.1557679467	925.007659045466	896.659556724836	976.072778124114	552.857914764914	661.316055475663	920.72191273518	1124.7987021561	1385.23276471334
hsa-mir-6797	718.207275712448	313.495977676869	984.327458197113	653.479280853132	1012.02968799879	604.548694825639	985.408905285631	835.587429014715	754.300297843079	1115.93398916592	603.912408711016	928.222801008393	666.385377155267	553.467666644181	1172.60083631084	1180.60916959386
hsa-mir-4649	654.495339963763	518.800764000002	948.789187246252	497.105145636387	631.00840968887	550.463821531099	866.619886566267	667.588638078995	566.625036280213	1149.59852858633	1199.47339258247	634.373231567351	749.79876115603	1131.50515961135	603.320875013543	743.772281136543
hsa-mir-1268a	507.764821269822	761.769378029896	1497.56620844095	567.885017366072	775.05303929384	798.853609994914	565.147755725458	576.153230553324	761.498801026312	524.074992058352	847.669621215808	585.726994120735	785.284012913261	765.544062274194	914.034747019318	1010.47269724733
hsa-mir-586	189.205142526397	481.13693629324	529.768178593073	207.401484603261	520.419306959892	1500.35444805965	557.048504449137	497.937400019316	1727.12658517716	806.129241256423	500.563526321404	442.417808129354	1156.26619037522	415.747324360056	352.721808081147	533.40083222157
hsa-mir-582	2323.55499010734	48.0029176654806	1181.02765555304	1726.69966149858	561.309395363884	115.381063028353	1801.63345057702	644.454378343584	169.679003604783	563.653572187758	561.111356408247	1090.59605302615	191.251681548711	1120.5133952037	1103.07045935849	918.507036519471
hsa-mir-3611	2281.08036627488	38.4023341323845	1215.73945508644	1713.5313132698	555.733474217885	112.576662190858	1795.33403291766	651.614982547401	147.569315256281	597.773037816557	608.610085183271	1064.30078954149	178.808801062409	1125.03941584214	1076.99656800137	926.554031833158
hsa-mir-4305	1856.33412795032	146.22427227331	1670.29873469048	1117.66355591757	1075.22346098678	177.879138835377	828.823380610106	627.379091396019	183.561831172447	611.875750276461	973.984921914223	371.42059672078	288.95133573745	969.861565381158	817.706203949928	1964.61642729884
hsa-mir-5588	888.105771042274	262.169781096086	1528.14565088704	393.404403334757	444.215051297908	398.625547615316	473.356241260495	1240.98779009239	1111.65456301073	1047.24013169994	790.253575443801	322.774359274165	999.578065732901	371.133692352523	407.766689835084	489.717143375838
hsa-mir-425	514.522147788622	478.921417016372	590.100592067791	413.156925677925	631.00840968887	695.491407698681	900.816725288508	887.914921273382	913.181546673011	1013.12066607114	542.320650519227	982.12809115194	738.738422945985	508.854034636648	509.165156223915	520.75555387149
hsa-mir-152	363.930299655367	238.906828688969	301.662067373591	233.738181060818	372.657396590923	497.1802056187	1607.25141994533	1486.65159585413	404.144535858664	1851.09474191444	297.519509909489	1380.50133294449	508.314710236694	451.308915090699	313.610971045455	478.221435784856
hsa-mir-6826	482.666179914279	403.593761602848	486.791664885054	675.700868489195	858.691856483822	998.366698148107	828.823380610106	436.796856432874	1044.81131916642	621.884126860909	340.320562212258	1029.45956542432	1093.13009309287	452.602063844541	502.646683384633	516.157270835097
hsa-mir-128-2	541.551453863821	498.491837295375	933.912701731938	451.015926835663	412.618164803915	415.852581331354	819.824212525306	492.980058647442	490.01239525866	1105.92561258147	1261.58711482673	408.891347186417	475.133695606557	1190.99000228806	480.194165827106	578.2340918264
