CD4_S2	CD56_S2	CD4_S3	CD56_S3	CD19_S3	CD19_S2	CD56_S1	CD14_S3	CD14_S1	CD14_S2	CD19_S1	CD14_S4	CD4_S1	CD4_S4	CD56_S4	CD19_S4
hsa-miR-148b-3p	923.850172869465	1835.70772861473	994.98574463309	2232.96999128601	1632.11557331588	792.157121233165	2016.76178366873	5487.41262002445	4154.53003286104	3884.01956703726	1032.70447147049	5821.08296855787	1235.18646011148	2078.49202171817	2869.18553025311	1121.46295552235
hsa-miR-29a-3p	6446.00200143763	3847.34102264248	5940.3725840886	2847.40360823996	4576.74637165241	4119.26129736531	1958.24162797111	688.356041529527	176.246248496603	471.512179595835	3603.54427969094	542.288804630092	3896.92514189435	3212.47561175941	3957.50826273619	2782.43629967769
hsa-miR-27a-3p	3564.84045748288	4706.18761250353	3046.11742765019	4415.86335261113	1396.57112847324	1272.453559645	3565.42470998219	2371.20429401202	1680.60718538164	2804.75877163216	476.645857876609	2068.38910492533	2649.76807287639	2685.11073393908	4480.86689291701	1084.2284064999
hsa-miR-320a-3p	3071.29298737711	2025.12203285513	2123.42907254366	2640.6302388319	2030.13436980204	2744.84618965807	1961.86014506116	2763.18942640012	859.895733362134	2798.54390419385	1896.70622308389	4159.13378914357	2202.92000068206	3436.01500864324	2911.53395723387	3180.1689824175
hsa-miR-342-3p	7529.6023009215	3262.41592409234	7259.75275144072	2223.68425857803	2337.08658129228	3453.11743524234	3288.10904678825	372.73903688084	117.054738756576	415.251274364837	2321.70839120833	527.126852337373	3068.65739413158	2844.19187476918	3662.55518358947	2773.58332998004
hsa-miR-148a-3p	2682.39227516543	1173.9015850873	4028.64461429699	1276.29079738079	2118.30995209968	540.794607305495	878.613382398279	5958.5153223673	1797.32985395735	2950.69912367032	331.479114660666	2255.75542048425	3687.02953367096	2515.59240218213	3228.563409343	1777.36385753321
hsa-miR-320b	2555.30702838704	1750.24727378256	1771.4748094307	2376.15267330996	1764.81259716708	2316.93231211757	1774.88263266695	2443.49566260457	781.983767175577	2506.60868373649	1636.28656787457	3693.26343749247	1861.10172307139	3051.78874924826	2624.6472451311	2709.13891821042
hsa-miR-4443	4397.74525062656	2424.9225320923	704.663590346296	918.790088123551	530.282169932628	1241.24535788645	3130.7035533713	1376.99650811581	1649.47560592511	2614.8237000965	1327.10172365337	999.360797104026	5435.80431015405	1294.44106374082	717.163712052685	1097.11728885382
hsa-miR-16-5p	1755.86139787174	1879.1767385461	1469.92107635323	1328.60595219093	2424.75623811772	3520.25564706335	1705.50692569919	1468.91320562464	1297.4397054306	1981.07077053221	2527.88806188011	1462.46436913966	1054.97140273843	1708.71725745267	1740.63709895871	1567.36620867582
hsa-miR-30e-3p	1514.59799969089	1191.29872173746	1594.50665621622	1830.45006006062	3454.82049951609	1089.26215310482	1124.1734387158	2193.01199595338	1840.41595992519	1730.51348328253	1858.89062512328	1935.74969016019	1455.33087733015	1393.53703034299	2392.84532902587	2193.97419624595
